participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.review_weather,player.review_instructions,player.window_width,player.window_height,player.browser,player.FEV1,player.lower_bound,player.diff_LB,player.costs_LB,player.chance_LB,player.best_guess,player.diff_BG,player.costs_BG,player.chance_BG,player.upper_bound,player.diff_UB,player.costs_UB,player.chance_UB,player.total_chance,player.random_draw,player.success,player.is_relevant,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
39,dhjdw4xb,,1,63,63,terminate,Results,2021-01-11 11:11:49.760026+00:00,1,,,10.00,39,1,3,16,9,Chrome Test,,10.0,1.0,9.0,41.0,11.0,2.0,6.0,44.0,12.0,3.0,9.0,41.0,84,39,1,,0.00,1,1,izulz3y4,,,,,0
40,fdpgrumz,,1,63,63,terminate,Results,2021-01-11 11:11:49.789138+00:00,1,,,10.00,40,2,4,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,15.0,12.0,36.0,14.0,16.0,13.0,39.0,11.0,0,55,0,,0.00,1,1,izulz3y4,,,,,0
41,5rcqr7gi,,1,63,63,terminate,Results,2021-01-11 11:11:49.819268+00:00,1,,,0.00,41,2,3,16,9,Chrome Test,,11.0,8.0,72.0,-22.0,14.0,11.0,33.0,17.0,16.0,13.0,39.0,11.0,4,65,0,,0.00,1,1,izulz3y4,,,,,0
42,2g8ifgs8,,1,63,63,terminate,Results,2021-01-11 11:11:49.845890+00:00,1,,,10.00,42,2,2,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,13.0,10.0,30.0,20.0,15.0,12.0,36.0,14.0,15,7,1,,0.00,1,1,izulz3y4,,,,,0
43,73miakwe,,1,63,63,terminate,Results,2021-01-11 11:11:49.874513+00:00,1,,,10.00,43,1,3,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,11.0,8.0,24.0,26.0,14.0,11.0,33.0,17.0,20,36,0,,0.00,1,1,izulz3y4,,,,,0
44,vxkqkwwm,,1,63,63,terminate,Results,2021-01-11 11:11:49.903893+00:00,1,,,0.00,44,2,3,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,16.0,13.0,39.0,11.0,17.0,14.0,42.0,8.0,0,11,0,1,0.00,1,1,izulz3y4,,,,,0
45,c17h252w,,1,63,63,terminate,Results,2021-01-11 11:11:49.930042+00:00,1,,,10.00,45,2,2,16,9,Chrome Test,,7.0,4.0,36.0,14.0,9.0,6.0,18.0,32.0,10.0,7.0,21.0,29.0,50,11,1,,0.00,1,1,izulz3y4,,,,,0
46,ttmymb13,,1,63,63,terminate,Results,2021-01-11 11:11:49.963059+00:00,1,,,0.00,46,1,4,16,9,Chrome Test,,6.0,3.0,27.0,23.0,9.0,6.0,18.0,32.0,10.0,7.0,21.0,29.0,57,44,1,,0.00,1,1,izulz3y4,,,,,0
47,5do5gzmz,,1,63,63,terminate,Results,2021-01-11 11:11:50.009646+00:00,1,,,0.00,47,2,1,16,9,Chrome Test,,14.0,5.0,45.0,5.0,15.0,6.0,18.0,32.0,17.0,8.0,24.0,26.0,42,37,1,,0.00,1,1,izulz3y4,,,,,0
48,785z6zxz,,1,63,63,terminate,Results,2021-01-11 11:11:50.068787+00:00,1,,,10.00,48,1,2,16,9,Chrome Test,,6.0,-3.0,9.0,41.0,8.0,-1.0,3.0,47.0,9.0,0.0,0.0,50.0,92,19,1,1,10.00,1,1,izulz3y4,,,,,0
49,mjz8ifv4,,1,63,63,terminate,Results,2021-01-11 11:11:50.120122+00:00,1,,,0.00,49,1,4,16,9,Chrome Test,,14.0,11.0,99.0,-49.0,16.0,13.0,39.0,11.0,17.0,14.0,42.0,8.0,0,19,0,1,0.00,1,1,izulz3y4,,,,,0
50,y4fde6on,,1,63,63,terminate,Results,2021-01-11 11:11:50.165301+00:00,1,,,0.00,50,2,3,16,9,Chrome Test,,12.0,9.0,81.0,-31.0,14.0,11.0,33.0,17.0,17.0,14.0,42.0,8.0,0,82,0,1,0.00,1,1,izulz3y4,,,,,0
51,b3t9nxh4,,1,63,63,terminate,Results,2021-01-11 11:11:50.209491+00:00,1,,,0.00,51,1,2,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,14.0,11.0,33.0,17.0,16.0,13.0,39.0,11.0,0,38,0,,0.00,1,1,izulz3y4,,,,,0
52,71xcnwid,,1,63,63,terminate,Results,2021-01-11 11:11:50.257253+00:00,1,,,10.00,52,1,3,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,16.0,13.0,39.0,11.0,18.0,15.0,45.0,5.0,0,81,0,,0.00,1,1,izulz3y4,,,,,0
53,jmufgevg,,1,63,63,terminate,Results,2021-01-11 11:11:50.304285+00:00,1,,,0.00,53,2,4,16,9,Chrome Test,,11.0,8.0,72.0,-22.0,13.0,10.0,30.0,20.0,14.0,11.0,33.0,17.0,10,47,0,,0.00,1,1,izulz3y4,,,,,0
54,iyzvnyz7,,1,63,63,terminate,Results,2021-01-11 11:11:50.346421+00:00,1,,,10.00,54,2,3,16,9,Chrome Test,,11.0,2.0,18.0,32.0,13.0,4.0,12.0,38.0,15.0,6.0,18.0,32.0,68,20,1,,0.00,1,1,izulz3y4,,,,,0
55,n996iuqm,,1,63,63,terminate,Results,2021-01-11 11:11:50.392997+00:00,1,,,0.00,55,2,2,16,9,Chrome Test,,14.0,11.0,99.0,-49.0,16.0,13.0,39.0,11.0,19.0,16.0,48.0,2.0,0,18,0,1,0.00,1,1,izulz3y4,,,,,0
56,ffjezpq0,,1,63,63,terminate,Results,2021-01-11 11:11:50.436213+00:00,1,,,10.00,56,1,2,16,9,Chrome Test,,10.0,1.0,9.0,41.0,13.0,4.0,12.0,38.0,16.0,7.0,21.0,29.0,72,71,1,,0.00,1,1,izulz3y4,,,,,0
57,611hdvwc,,1,63,63,terminate,Results,2021-01-11 11:11:50.471802+00:00,1,,,10.00,57,1,1,16,9,Chrome Test,,11.0,8.0,72.0,-22.0,12.0,9.0,27.0,23.0,13.0,10.0,30.0,20.0,15,74,0,,0.00,1,1,izulz3y4,,,,,0
58,ngtacrau,,1,63,63,terminate,Results,2021-01-11 11:11:50.520239+00:00,1,,,10.00,58,1,2,16,9,Chrome Test,,13.0,4.0,36.0,14.0,14.0,5.0,15.0,35.0,15.0,6.0,18.0,32.0,54,60,0,,0.00,1,1,izulz3y4,,,,,0
59,6nl25hcg,,1,63,63,terminate,Results,2021-01-11 11:11:50.562049+00:00,1,,,0.00,59,2,3,16,9,Chrome Test,,12.0,3.0,27.0,23.0,13.0,4.0,12.0,38.0,14.0,5.0,15.0,35.0,64,7,1,,0.00,1,1,izulz3y4,,,,,0
60,32y74fi1,,1,63,63,terminate,Results,2021-01-11 11:11:50.597109+00:00,1,,,0.00,60,1,3,16,9,Chrome Test,,8.0,-1.0,3.0,47.0,9.0,0.0,0.0,50.0,11.0,2.0,6.0,44.0,94,71,1,,0.00,1,1,izulz3y4,,,,,0
61,cbmvbzh2,,1,63,63,terminate,Results,2021-01-11 11:11:50.627468+00:00,1,,,0.00,61,2,2,16,9,Chrome Test,,9.0,0.0,0.0,50.0,10.0,1.0,3.0,47.0,13.0,4.0,12.0,38.0,90,93,0,1,0.00,1,1,izulz3y4,,,,,0
62,e0iemexn,,1,63,63,terminate,Results,2021-01-11 11:11:50.657380+00:00,1,,,0.00,62,2,2,16,9,Chrome Test,,15.0,12.0,108.0,-58.0,16.0,13.0,39.0,11.0,18.0,15.0,45.0,5.0,0,93,0,,0.00,1,1,izulz3y4,,,,,0
63,pdhtv9yv,,1,63,63,terminate,Results,2021-01-11 11:11:50.688101+00:00,1,,,0.00,63,2,1,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,16.0,13.0,39.0,11.0,17.0,14.0,42.0,8.0,0,31,0,,0.00,1,1,izulz3y4,,,,,0
64,wxvvxojc,,1,63,63,terminate,Results,2021-01-11 11:11:50.713823+00:00,1,,,10.00,64,1,4,16,9,Chrome Test,,10.0,1.0,9.0,41.0,12.0,3.0,9.0,41.0,15.0,6.0,18.0,32.0,76,93,0,,0.00,1,1,izulz3y4,,,,,0
65,tlu4okd3,,1,63,63,terminate,Results,2021-01-11 11:11:50.740723+00:00,1,,,0.00,65,2,2,16,9,Chrome Test,,9.0,6.0,54.0,-4.0,10.0,7.0,21.0,29.0,12.0,9.0,27.0,23.0,32,80,0,1,0.00,1,1,izulz3y4,,,,,0
66,jflfq0yc,,1,63,63,terminate,Results,2021-01-11 11:11:50.769502+00:00,1,,,10.00,66,1,3,16,9,Chrome Test,,6.0,-3.0,9.0,41.0,8.0,-1.0,3.0,47.0,10.0,1.0,3.0,47.0,90,99,0,,0.00,1,1,izulz3y4,,,,,0
67,xsqb0mtu,,1,63,63,terminate,Results,2021-01-11 11:11:50.799143+00:00,1,,,10.00,67,1,4,16,9,Chrome Test,,12.0,3.0,27.0,23.0,15.0,6.0,18.0,32.0,16.0,7.0,21.0,29.0,57,52,1,,0.00,1,1,izulz3y4,,,,,0
68,4qf6mnme,,1,63,63,terminate,Results,2021-01-11 11:11:50.829187+00:00,1,,,0.00,68,1,3,16,9,Chrome Test,,15.0,6.0,54.0,-4.0,16.0,7.0,21.0,29.0,17.0,8.0,24.0,26.0,34,29,1,,0.00,1,1,izulz3y4,,,,,0
69,xzeotq5n,,1,63,63,terminate,Results,2021-01-11 11:11:50.859614+00:00,1,,,0.00,69,1,3,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,13.0,10.0,30.0,20.0,16.0,13.0,39.0,11.0,12,72,0,1,0.00,1,1,izulz3y4,,,,,0
70,e4o9ded0,,1,63,63,terminate,Results,2021-01-11 11:11:50.889983+00:00,1,,,10.00,70,1,1,16,9,Chrome Test,,8.0,-1.0,3.0,47.0,10.0,1.0,3.0,47.0,11.0,2.0,6.0,44.0,92,26,1,,0.00,1,1,izulz3y4,,,,,0
71,ahhh3a9o,,1,63,63,terminate,Results,2021-01-11 11:11:50.919429+00:00,1,,,10.00,71,1,2,16,9,Chrome Test,,9.0,6.0,54.0,-4.0,11.0,8.0,24.0,26.0,12.0,9.0,27.0,23.0,30,82,0,,0.00,1,1,izulz3y4,,,,,0
72,yukykt5n,,1,63,63,terminate,Results,2021-01-11 11:11:51.023545+00:00,1,,,10.00,72,2,4,16,9,Chrome Test,,14.0,5.0,45.0,5.0,16.0,7.0,21.0,29.0,17.0,8.0,24.0,26.0,40,14,1,,0.00,1,1,izulz3y4,,,,,0
73,140bc1na,,1,63,63,terminate,Results,2021-01-11 11:11:51.056696+00:00,1,,,0.00,73,2,2,16,9,Chrome Test,,8.0,-1.0,3.0,47.0,11.0,2.0,6.0,44.0,14.0,5.0,15.0,35.0,84,58,1,,0.00,1,1,izulz3y4,,,,,0
74,ft8s9e0t,,1,63,63,terminate,Results,2021-01-11 11:11:51.088184+00:00,1,,,10.00,74,1,4,16,9,Chrome Test,,9.0,6.0,54.0,-4.0,12.0,9.0,27.0,23.0,14.0,11.0,33.0,17.0,24,79,0,,0.00,1,1,izulz3y4,,,,,0
75,u9q108nl,,1,63,63,terminate,Results,2021-01-11 11:11:51.117243+00:00,1,,,10.00,75,2,2,16,9,Chrome Test,,7.0,4.0,36.0,14.0,10.0,7.0,21.0,29.0,13.0,10.0,30.0,20.0,42,67,0,,0.00,1,1,izulz3y4,,,,,0
76,gw6gboqy,,1,63,63,terminate,Results,2021-01-11 11:11:51.145266+00:00,1,,,0.00,76,1,4,16,9,Chrome Test,,8.0,5.0,45.0,5.0,9.0,6.0,18.0,32.0,10.0,7.0,21.0,29.0,44,15,1,,0.00,1,1,izulz3y4,,,,,0
77,fiohpoyd,,1,63,63,terminate,Results,2021-01-11 11:11:51.177188+00:00,1,,,0.00,77,2,3,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,11.0,8.0,24.0,26.0,12.0,9.0,27.0,23.0,24,97,0,,0.00,1,1,izulz3y4,,,,,0
78,4xf8pi1e,,1,63,63,terminate,Results,2021-01-11 11:11:51.207285+00:00,1,,,0.00,78,2,3,16,9,Chrome Test,,10.0,1.0,9.0,41.0,12.0,3.0,9.0,41.0,13.0,4.0,12.0,38.0,80,99,0,,0.00,1,1,izulz3y4,,,,,0
79,x7y76bhw,,1,63,63,terminate,Results,2021-01-11 11:11:51.235616+00:00,1,,,10.00,79,1,4,16,9,Chrome Test,,11.0,8.0,72.0,-22.0,14.0,11.0,33.0,17.0,16.0,13.0,39.0,11.0,4,85,0,,0.00,1,1,izulz3y4,,,,,0
80,ncggrsfu,,1,63,63,terminate,Results,2021-01-11 11:11:51.262222+00:00,1,,,0.00,80,2,1,16,9,Chrome Test,,14.0,5.0,45.0,5.0,16.0,7.0,21.0,29.0,19.0,10.0,30.0,20.0,36,100,0,1,0.00,1,1,izulz3y4,,,,,0
81,2ylz15hm,,1,63,63,terminate,Results,2021-01-11 11:11:51.294081+00:00,1,,,0.00,81,1,3,16,9,Chrome Test,,11.0,8.0,72.0,-22.0,14.0,11.0,33.0,17.0,15.0,12.0,36.0,14.0,6,85,0,,0.00,1,1,izulz3y4,,,,,0
82,qohf7871,,1,63,63,terminate,Results,2021-01-11 11:11:51.321948+00:00,1,,,10.00,82,2,3,16,9,Chrome Test,,7.0,-2.0,6.0,44.0,10.0,1.0,3.0,47.0,12.0,3.0,9.0,41.0,88,62,1,,0.00,1,1,izulz3y4,,,,,0
83,kv39zq8y,,1,63,63,terminate,Results,2021-01-11 11:11:51.351020+00:00,1,,,0.00,83,1,4,16,9,Chrome Test,,15.0,12.0,108.0,-58.0,16.0,13.0,39.0,11.0,17.0,14.0,42.0,8.0,0,36,0,,0.00,1,1,izulz3y4,,,,,0
84,1f3z9f8i,,1,63,63,terminate,Results,2021-01-11 11:11:51.381699+00:00,1,,,0.00,84,1,1,16,9,Chrome Test,,14.0,11.0,99.0,-49.0,15.0,12.0,36.0,14.0,16.0,13.0,39.0,11.0,0,65,0,1,0.00,1,1,izulz3y4,,,,,0
85,73gf33se,,1,63,63,terminate,Results,2021-01-11 11:11:51.410834+00:00,1,,,10.00,85,2,1,16,9,Chrome Test,,11.0,2.0,18.0,32.0,13.0,4.0,12.0,38.0,16.0,7.0,21.0,29.0,66,17,1,,0.00,1,1,izulz3y4,,,,,0
86,3gy3uyfd,,1,63,63,terminate,Results,2021-01-11 11:11:51.440158+00:00,1,,,10.00,86,1,1,16,9,Chrome Test,,8.0,5.0,45.0,5.0,9.0,6.0,18.0,32.0,10.0,7.0,21.0,29.0,44,79,0,,0.00,1,1,izulz3y4,,,,,0
87,p0vwm5ha,,1,63,63,terminate,Results,2021-01-11 11:11:51.468960+00:00,1,,,0.00,87,2,1,16,9,Chrome Test,,8.0,5.0,45.0,5.0,9.0,6.0,18.0,32.0,11.0,8.0,24.0,26.0,42,12,1,,0.00,1,1,izulz3y4,,,,,0
88,7vwpo5lb,,1,63,63,terminate,Results,2021-01-11 11:11:51.499309+00:00,1,,,10.00,88,2,1,16,9,Chrome Test,,6.0,-3.0,9.0,41.0,8.0,-1.0,3.0,47.0,10.0,1.0,3.0,47.0,90,90,0,,0.00,1,1,izulz3y4,,,,,0
89,a6fzzgjt,,1,63,63,terminate,Results,2021-01-11 11:11:51.526950+00:00,1,,,0.00,89,1,2,16,9,Chrome Test,,9.0,0.0,0.0,50.0,11.0,2.0,6.0,44.0,14.0,5.0,15.0,35.0,86,24,1,,0.00,1,1,izulz3y4,,,,,0
90,sl4xownc,,1,63,63,terminate,Results,2021-01-11 11:11:51.559174+00:00,1,,,10.00,90,2,4,16,9,Chrome Test,,13.0,4.0,36.0,14.0,15.0,6.0,18.0,32.0,16.0,7.0,21.0,29.0,50,46,1,1,10.00,1,1,izulz3y4,,,,,0
