participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.Age,player.Gender,player.Education,player.Income,player.Comprehension,player.Usage,player.Accuracy,player.Authenticity,player.Credibility,player.CLICCS1,player.CLICCS2,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
24,n3elx8fj,,1,63,63,terminate,Results,2021-01-11 11:11:49.307856+00:00,1,,,10.00,24,98,diverse,uni,59156,yes,0,0,1,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
25,nsjjgmmu,,1,63,63,terminate,Results,2021-01-11 11:11:49.338135+00:00,1,,,0.00,25,33,diverse,uni,36176,yes,5,-1,1,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
26,s899en9g,,1,63,63,terminate,Results,2021-01-11 11:11:49.379710+00:00,1,,,10.00,26,68,diverse,uni,36940,yes,5,-2,-1,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
27,27841yy1,,1,63,63,terminate,Results,2021-01-11 11:11:49.409300+00:00,1,,,0.00,27,84,diverse,uni,57721,yes,5,-1,2,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
28,m2d7ztla,,1,63,63,terminate,Results,2021-01-11 11:11:49.440436+00:00,1,,,0.00,28,75,diverse,uni,51550,yes,1,2,1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
29,eh2a0r3c,,1,63,63,terminate,Results,2021-01-11 11:11:49.468329+00:00,1,,,0.00,29,27,diverse,uni,64562,yes,5,-2,-1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
30,il4g6njw,,1,63,63,terminate,Results,2021-01-11 11:11:49.494947+00:00,1,,,10.00,30,29,diverse,uni,40298,yes,4,-1,-2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
31,238w8cx8,,1,63,63,terminate,Results,2021-01-11 11:11:49.520963+00:00,1,,,10.00,31,95,diverse,uni,43575,yes,0,1,-2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
32,hpsg8adc,,1,63,63,terminate,Results,2021-01-11 11:11:49.546706+00:00,1,,,0.00,32,43,diverse,uni,55240,yes,3,-2,-2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
33,s7g3k96k,,1,63,63,terminate,Results,2021-01-11 11:11:49.577094+00:00,1,,,10.00,33,29,diverse,uni,49522,yes,0,2,-2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
34,f6q3p50o,,1,63,63,terminate,Results,2021-01-11 11:11:49.605563+00:00,1,,,10.00,34,89,diverse,uni,35901,yes,1,2,-1,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
35,069bb8rl,,1,63,63,terminate,Results,2021-01-11 11:11:49.636216+00:00,1,,,10.00,35,58,diverse,uni,56564,yes,2,1,1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
36,1thq0ael,,1,63,63,terminate,Results,2021-01-11 11:11:49.662251+00:00,1,,,10.00,36,99,diverse,uni,61821,yes,0,2,1,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
37,8xe0xf96,,1,63,63,terminate,Results,2021-01-11 11:11:49.700612+00:00,1,,,0.00,37,54,diverse,uni,31642,yes,3,2,-1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
38,5jkh3r9o,,1,63,63,terminate,Results,2021-01-11 11:11:49.730924+00:00,1,,,10.00,38,45,diverse,uni,42968,yes,2,1,-1,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
39,dhjdw4xb,,1,63,63,terminate,Results,2021-01-11 11:11:49.760026+00:00,1,,,10.00,39,40,diverse,uni,49262,yes,5,1,0,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
40,fdpgrumz,,1,63,63,terminate,Results,2021-01-11 11:11:49.789138+00:00,1,,,10.00,40,94,diverse,uni,57731,yes,4,2,2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
41,5rcqr7gi,,1,63,63,terminate,Results,2021-01-11 11:11:49.819268+00:00,1,,,0.00,41,77,diverse,uni,68498,yes,3,2,-2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
42,2g8ifgs8,,1,63,63,terminate,Results,2021-01-11 11:11:49.845890+00:00,1,,,10.00,42,82,diverse,uni,59856,yes,1,-1,0,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
43,73miakwe,,1,63,63,terminate,Results,2021-01-11 11:11:49.874513+00:00,1,,,10.00,43,85,diverse,uni,39347,yes,4,1,0,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
44,vxkqkwwm,,1,63,63,terminate,Results,2021-01-11 11:11:49.903893+00:00,1,,,0.00,44,24,diverse,uni,53087,yes,1,1,-2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
45,c17h252w,,1,63,63,terminate,Results,2021-01-11 11:11:49.930042+00:00,1,,,10.00,45,96,diverse,uni,48335,yes,4,0,0,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
46,ttmymb13,,1,63,63,terminate,Results,2021-01-11 11:11:49.963059+00:00,1,,,0.00,46,37,diverse,uni,37742,yes,2,-1,-1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
47,5do5gzmz,,1,63,63,terminate,Results,2021-01-11 11:11:50.009646+00:00,1,,,0.00,47,47,diverse,uni,47704,yes,1,-2,-1,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
48,785z6zxz,,1,63,63,terminate,Results,2021-01-11 11:11:50.068787+00:00,1,,,10.00,48,78,diverse,uni,62390,yes,5,-1,1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
49,mjz8ifv4,,1,63,63,terminate,Results,2021-01-11 11:11:50.120122+00:00,1,,,0.00,49,43,diverse,uni,62116,yes,1,0,-2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
50,y4fde6on,,1,63,63,terminate,Results,2021-01-11 11:11:50.165301+00:00,1,,,0.00,50,84,diverse,uni,53950,yes,4,1,-2,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
51,b3t9nxh4,,1,63,63,terminate,Results,2021-01-11 11:11:50.209491+00:00,1,,,0.00,51,44,diverse,uni,43705,yes,4,-1,2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
52,71xcnwid,,1,63,63,terminate,Results,2021-01-11 11:11:50.257253+00:00,1,,,10.00,52,78,diverse,uni,57291,yes,5,0,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
53,jmufgevg,,1,63,63,terminate,Results,2021-01-11 11:11:50.304285+00:00,1,,,0.00,53,66,diverse,uni,37101,yes,1,0,1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
54,iyzvnyz7,,1,63,63,terminate,Results,2021-01-11 11:11:50.346421+00:00,1,,,10.00,54,24,diverse,uni,55866,yes,4,-1,1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
55,n996iuqm,,1,63,63,terminate,Results,2021-01-11 11:11:50.392997+00:00,1,,,0.00,55,67,diverse,uni,56064,yes,4,0,0,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
56,ffjezpq0,,1,63,63,terminate,Results,2021-01-11 11:11:50.436213+00:00,1,,,10.00,56,66,diverse,uni,60127,yes,5,2,2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
57,611hdvwc,,1,63,63,terminate,Results,2021-01-11 11:11:50.471802+00:00,1,,,10.00,57,37,diverse,uni,54881,yes,3,-1,2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
58,ngtacrau,,1,63,63,terminate,Results,2021-01-11 11:11:50.520239+00:00,1,,,10.00,58,39,diverse,uni,60253,yes,5,2,0,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
59,6nl25hcg,,1,63,63,terminate,Results,2021-01-11 11:11:50.562049+00:00,1,,,0.00,59,45,diverse,uni,45153,yes,2,1,1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
60,32y74fi1,,1,63,63,terminate,Results,2021-01-11 11:11:50.597109+00:00,1,,,0.00,60,93,diverse,uni,44131,yes,2,-2,2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
61,cbmvbzh2,,1,63,63,terminate,Results,2021-01-11 11:11:50.627468+00:00,1,,,0.00,61,23,diverse,uni,41993,yes,1,1,2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
62,e0iemexn,,1,63,63,terminate,Results,2021-01-11 11:11:50.657380+00:00,1,,,0.00,62,87,diverse,uni,51422,yes,2,-1,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
63,pdhtv9yv,,1,63,63,terminate,Results,2021-01-11 11:11:50.688101+00:00,1,,,0.00,63,50,diverse,uni,68999,yes,4,2,2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
64,wxvvxojc,,1,63,63,terminate,Results,2021-01-11 11:11:50.713823+00:00,1,,,10.00,64,62,diverse,uni,50216,yes,4,1,2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
65,tlu4okd3,,1,63,63,terminate,Results,2021-01-11 11:11:50.740723+00:00,1,,,0.00,65,55,diverse,uni,63509,yes,0,2,-2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
66,jflfq0yc,,1,63,63,terminate,Results,2021-01-11 11:11:50.769502+00:00,1,,,10.00,66,87,diverse,uni,51173,yes,2,0,2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
67,xsqb0mtu,,1,63,63,terminate,Results,2021-01-11 11:11:50.799143+00:00,1,,,10.00,67,78,diverse,uni,38748,yes,1,0,2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
68,4qf6mnme,,1,63,63,terminate,Results,2021-01-11 11:11:50.829187+00:00,1,,,0.00,68,51,diverse,uni,68731,yes,1,-1,-1,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
69,xzeotq5n,,1,63,63,terminate,Results,2021-01-11 11:11:50.859614+00:00,1,,,0.00,69,20,diverse,uni,43623,yes,5,2,1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
70,e4o9ded0,,1,63,63,terminate,Results,2021-01-11 11:11:50.889983+00:00,1,,,10.00,70,36,diverse,uni,33652,yes,5,2,-1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
71,ahhh3a9o,,1,63,63,terminate,Results,2021-01-11 11:11:50.919429+00:00,1,,,10.00,71,59,diverse,uni,34744,yes,4,-2,2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
72,yukykt5n,,1,63,63,terminate,Results,2021-01-11 11:11:51.023545+00:00,1,,,10.00,72,77,diverse,uni,61512,yes,0,-2,-2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
73,140bc1na,,1,63,63,terminate,Results,2021-01-11 11:11:51.056696+00:00,1,,,0.00,73,34,diverse,uni,42765,yes,1,-2,-2,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
74,ft8s9e0t,,1,63,63,terminate,Results,2021-01-11 11:11:51.088184+00:00,1,,,10.00,74,40,diverse,uni,64117,yes,0,-1,-2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
75,u9q108nl,,1,63,63,terminate,Results,2021-01-11 11:11:51.117243+00:00,1,,,10.00,75,80,diverse,uni,44794,yes,3,1,-2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
76,gw6gboqy,,1,63,63,terminate,Results,2021-01-11 11:11:51.145266+00:00,1,,,0.00,76,26,diverse,uni,33104,yes,4,-1,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
77,fiohpoyd,,1,63,63,terminate,Results,2021-01-11 11:11:51.177188+00:00,1,,,0.00,77,98,diverse,uni,39439,yes,2,-2,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
78,4xf8pi1e,,1,63,63,terminate,Results,2021-01-11 11:11:51.207285+00:00,1,,,0.00,78,95,diverse,uni,65635,yes,1,-2,0,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
79,x7y76bhw,,1,63,63,terminate,Results,2021-01-11 11:11:51.235616+00:00,1,,,10.00,79,94,diverse,uni,62620,yes,3,-1,-2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
80,ncggrsfu,,1,63,63,terminate,Results,2021-01-11 11:11:51.262222+00:00,1,,,0.00,80,72,diverse,uni,42202,yes,1,-1,0,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
81,2ylz15hm,,1,63,63,terminate,Results,2021-01-11 11:11:51.294081+00:00,1,,,0.00,81,58,diverse,uni,33302,yes,0,1,-2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
82,qohf7871,,1,63,63,terminate,Results,2021-01-11 11:11:51.321948+00:00,1,,,10.00,82,82,diverse,uni,37528,yes,4,1,0,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
83,kv39zq8y,,1,63,63,terminate,Results,2021-01-11 11:11:51.351020+00:00,1,,,0.00,83,81,diverse,uni,45582,yes,3,-1,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
84,1f3z9f8i,,1,63,63,terminate,Results,2021-01-11 11:11:51.381699+00:00,1,,,0.00,84,83,diverse,uni,59652,yes,4,-2,-2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
85,73gf33se,,1,63,63,terminate,Results,2021-01-11 11:11:51.410834+00:00,1,,,10.00,85,50,diverse,uni,64981,yes,3,2,2,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
86,3gy3uyfd,,1,63,63,terminate,Results,2021-01-11 11:11:51.440158+00:00,1,,,10.00,86,86,diverse,uni,37038,yes,3,1,0,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
87,p0vwm5ha,,1,63,63,terminate,Results,2021-01-11 11:11:51.468960+00:00,1,,,0.00,87,87,diverse,uni,68504,yes,1,1,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
88,7vwpo5lb,,1,63,63,terminate,Results,2021-01-11 11:11:51.499309+00:00,1,,,10.00,88,49,diverse,uni,55920,yes,2,-2,1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
89,a6fzzgjt,,1,63,63,terminate,Results,2021-01-11 11:11:51.526950+00:00,1,,,0.00,89,24,diverse,uni,51058,yes,1,2,2,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
90,sl4xownc,,1,63,63,terminate,Results,2021-01-11 11:11:51.559174+00:00,1,,,10.00,90,38,diverse,uni,58550,yes,2,-1,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
91,4xyjcesj,,1,63,63,terminate,Results,2021-01-11 11:11:51.589748+00:00,1,,,10.00,91,70,diverse,uni,41853,yes,2,1,2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
92,fev7wv8v,,1,63,63,terminate,Results,2021-01-11 11:11:51.616590+00:00,1,,,10.00,92,49,diverse,uni,53203,yes,4,-2,-1,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
93,w7mcpufs,,1,63,63,terminate,Results,2021-01-11 11:11:51.643635+00:00,1,,,0.00,93,72,diverse,uni,33842,yes,0,-1,1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
94,1t7eeees,,1,63,63,terminate,Results,2021-01-11 11:11:51.674974+00:00,1,,,10.00,94,19,diverse,uni,47124,yes,2,2,1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
95,6vpr15io,,1,63,63,terminate,Results,2021-01-11 11:11:51.705067+00:00,1,,,0.00,95,99,diverse,uni,34634,yes,4,-1,2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
96,tqvu8kvg,,1,63,63,terminate,Results,2021-01-11 11:11:51.734212+00:00,1,,,0.00,96,93,diverse,uni,37245,yes,2,-1,2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
97,jw9dipqt,,1,63,63,terminate,Results,2021-01-11 11:11:51.762008+00:00,1,,,10.00,97,63,diverse,uni,66002,yes,1,1,-1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
98,8d9d28l0,,1,63,63,terminate,Results,2021-01-11 11:11:51.792793+00:00,1,,,10.00,98,60,diverse,uni,33129,yes,2,0,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
99,4p7h610x,,1,63,63,terminate,Results,2021-01-11 11:11:51.821554+00:00,1,,,10.00,99,58,diverse,uni,54782,yes,2,1,1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
100,xhq6qdf4,,1,63,63,terminate,Results,2021-01-11 11:11:51.849345+00:00,1,,,10.00,100,92,diverse,uni,58475,yes,1,0,0,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
101,ifssq63k,,1,63,63,terminate,Results,2021-01-11 11:11:51.875250+00:00,1,,,10.00,101,94,diverse,uni,65862,yes,5,-1,-1,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
102,h1m9wo2o,,1,63,63,terminate,Results,2021-01-11 11:11:51.902828+00:00,1,,,0.00,102,72,diverse,uni,49054,yes,2,0,-2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
103,jq9cdbbe,,1,63,63,terminate,Results,2021-01-11 11:11:51.930789+00:00,1,,,0.00,103,75,diverse,uni,33349,yes,3,2,1,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
104,jh7e24xu,,1,63,63,terminate,Results,2021-01-11 11:11:51.958696+00:00,1,,,0.00,104,22,diverse,uni,52494,yes,2,2,-1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
105,zqrkzfkt,,1,63,63,terminate,Results,2021-01-11 11:11:51.986912+00:00,1,,,0.00,105,53,diverse,uni,64808,yes,2,0,-1,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
106,jzrufmjz,,1,63,63,terminate,Results,2021-01-11 11:11:52.011348+00:00,1,,,10.00,106,98,diverse,uni,57517,yes,0,2,0,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
107,c0d0iipk,,1,63,63,terminate,Results,2021-01-11 11:11:52.040735+00:00,1,,,10.00,107,20,diverse,uni,62853,yes,3,2,2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
108,8lb1ddo5,,1,63,63,terminate,Results,2021-01-11 11:11:52.069147+00:00,1,,,10.00,108,96,diverse,uni,61931,yes,0,-2,0,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
109,wdb3gibc,,1,63,63,terminate,Results,2021-01-11 11:11:52.095448+00:00,1,,,0.00,109,78,diverse,uni,61722,yes,5,2,0,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
110,nvb2lhdl,,1,63,63,terminate,Results,2021-01-11 11:11:52.122977+00:00,1,,,0.00,110,57,diverse,uni,32105,yes,1,-1,0,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
111,majk2yor,,1,63,63,terminate,Results,2021-01-11 11:11:52.152473+00:00,1,,,10.00,111,66,diverse,uni,45380,yes,3,-2,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
112,4jhsy4rn,,1,63,63,terminate,Results,2021-01-11 11:11:52.177879+00:00,1,,,10.00,112,23,diverse,uni,57250,yes,2,-2,2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
113,gmg22ahj,,1,63,63,terminate,Results,2021-01-11 11:11:52.204809+00:00,1,,,0.00,113,25,diverse,uni,46312,yes,2,1,-2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
114,vg5chc0w,,1,63,63,terminate,Results,2021-01-11 11:11:52.229177+00:00,1,,,10.00,114,87,diverse,uni,58598,yes,1,-2,0,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
115,j30aj6gh,,1,63,63,terminate,Results,2021-01-11 11:11:52.256572+00:00,1,,,10.00,115,100,diverse,uni,53523,yes,4,2,1,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
116,7kexp3ps,,1,63,63,terminate,Results,2021-01-11 11:11:52.285791+00:00,1,,,10.00,116,80,diverse,uni,30055,yes,0,-1,1,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
117,222jrlrg,,1,63,63,terminate,Results,2021-01-11 11:11:52.310329+00:00,1,,,0.00,117,43,diverse,uni,37145,yes,4,-2,-2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
118,w4mdxdru,,1,63,63,terminate,Results,2021-01-11 11:11:52.336934+00:00,1,,,0.00,118,80,diverse,uni,50494,yes,1,-1,2,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
119,pwcopda7,,1,63,63,terminate,Results,2021-01-11 11:11:52.362784+00:00,1,,,10.00,119,87,diverse,uni,50000,yes,3,1,0,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
120,oiwi1zow,,1,63,63,terminate,Results,2021-01-11 11:11:52.391107+00:00,1,,,10.00,120,18,diverse,uni,44794,yes,4,2,-1,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
121,0rky1jca,,1,63,63,terminate,Results,2021-01-11 11:11:52.510630+00:00,1,,,0.00,121,82,diverse,uni,44537,yes,2,-1,1,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
122,5sz6ccam,,1,63,63,terminate,Results,2021-01-11 11:11:52.541036+00:00,1,,,0.00,122,89,diverse,uni,45907,yes,1,0,2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
123,sj62j7st,,1,63,63,terminate,Results,2021-01-11 11:11:52.570696+00:00,1,,,10.00,123,100,diverse,uni,69790,yes,2,1,-1,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
124,hms52rhd,,1,63,63,terminate,Results,2021-01-11 11:11:52.603333+00:00,1,,,0.00,124,81,diverse,uni,63454,yes,1,1,0,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
125,k4lohuy6,,1,63,63,terminate,Results,2021-01-11 11:11:52.632776+00:00,1,,,10.00,125,89,diverse,uni,56251,yes,4,2,0,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
126,uzm97o7y,,1,63,63,terminate,Results,2021-01-11 11:11:52.658898+00:00,1,,,10.00,126,90,diverse,uni,60671,yes,1,-2,0,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
127,s8rajk7d,,1,63,63,terminate,Results,2021-01-11 11:11:52.687322+00:00,1,,,10.00,127,86,diverse,uni,32800,yes,5,-1,0,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
128,5bcqdeck,,1,63,63,terminate,Results,2021-01-11 11:11:52.716694+00:00,1,,,10.00,128,63,diverse,uni,32642,yes,3,-2,1,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
