"","participant.code","participant.time_started","participant.visited","participant.payoff","Baillon.1.review_weather","Baillon.1.review_instructions","Baillon.1.window_width","Baillon.1.window_height","Baillon.1.browser","Baillon.2.review_weather","Baillon.2.review_instructions","Baillon.3.review_weather","Baillon.3.review_instructions","Baillon.4.review_weather","Baillon.4.review_instructions","Baillon.5.review_weather","Baillon.5.review_instructions","Baillon.6.review_weather","Baillon.6.review_instructions","MPP.1.review_weather","MPP.1.review_instructions","postBaillon.1.review_weather","postBaillon.1.review_instructions","postBaillon.2.review_weather","postBaillon.2.review_instructions","postBaillon.3.review_weather","postBaillon.3.review_instructions","postBaillon.4.review_weather","postBaillon.4.review_instructions","postBaillon.5.review_weather","postBaillon.5.review_instructions","postBaillon.6.review_weather","postBaillon.6.review_instructions","postMPP.1.review_weather","postMPP.1.review_instructions","terminate.1.Age","terminate.1.Gender","terminate.1.Education","terminate.1.Income","terminate.1.Usage"
"29","jbs7fj12","2021-01-11 11:48:18.138702+00:00",1,0,1,4,16,9,"Chrome Test",1,4,2,1,2,3,2,4,1,3,2,3,1,0,2,0,1,0,1,0,1,0,2,0,2,0,99,"diverse","uni",48178,3
"30","p4vss9nr","2021-01-11 11:48:18.171247+00:00",1,0,1,2,16,9,"Chrome Test",1,3,2,1,2,2,1,4,2,2,2,2,1,0,2,0,2,0,1,0,2,0,2,0,2,0,76,"diverse","uni",50240,4
"31","veblqbxh","2021-01-11 11:48:18.202153+00:00",1,0,1,2,16,9,"Chrome Test",1,2,1,4,2,4,1,2,1,1,2,4,1,0,2,0,2,0,1,0,2,0,2,0,1,0,39,"diverse","uni",51936,0
"32","sehz15ps","2021-01-11 11:48:18.234393+00:00",1,10,2,2,16,9,"Chrome Test",2,2,1,2,1,4,2,4,1,4,1,3,2,0,2,0,2,0,2,0,1,0,2,0,1,0,49,"diverse","uni",49970,4
"33","d40z4hvh","2021-01-11 11:48:18.288999+00:00",1,10,1,2,16,9,"Chrome Test",2,1,2,1,2,3,2,2,2,4,1,2,1,0,1,0,2,0,1,0,1,0,1,0,1,0,71,"diverse","uni",36312,5
"34","zordxrf2","2021-01-11 11:48:18.317772+00:00",1,0,2,1,16,9,"Chrome Test",2,1,2,2,1,1,1,4,1,3,2,3,1,0,2,0,2,0,2,0,1,0,1,0,1,0,22,"diverse","uni",37575,3
"35","it4rzd5s","2021-01-11 11:48:18.345323+00:00",1,10,2,3,16,9,"Chrome Test",2,2,2,3,1,1,1,4,2,1,1,1,2,0,1,0,2,0,1,0,1,0,1,0,2,0,38,"diverse","uni",39189,4
"36","88ru5ylo","2021-01-11 11:48:18.376028+00:00",1,0,2,4,16,9,"Chrome Test",2,2,1,1,1,1,2,1,1,3,2,3,1,0,1,0,2,0,1,0,2,0,1,0,2,0,97,"diverse","uni",56423,0
"37","0dpdf9cr","2021-01-11 11:48:18.405035+00:00",1,10,1,1,16,9,"Chrome Test",2,1,2,4,1,1,2,2,1,3,2,2,1,0,1,0,1,0,1,0,2,0,1,0,1,0,68,"diverse","uni",47781,2
"38","lsuubboy","2021-01-11 11:48:18.431034+00:00",1,10,2,4,16,9,"Chrome Test",2,3,1,2,2,3,1,2,1,4,1,4,1,0,1,0,1,0,1,0,2,0,2,0,2,0,98,"diverse","uni",32552,2
"39","tve9hkkw","2021-01-11 11:48:18.459507+00:00",1,10,1,3,16,9,"Chrome Test",2,4,2,1,1,3,1,4,1,1,1,1,2,0,1,0,2,0,2,0,1,0,2,0,2,0,38,"diverse","uni",52589,1
"40","1vvbf1mu","2021-01-11 11:48:18.489303+00:00",1,0,2,1,16,9,"Chrome Test",2,2,1,1,2,4,1,3,2,1,1,2,1,0,1,0,1,0,2,0,2,0,1,0,2,0,63,"diverse","uni",49734,1
"41","kh0wf7fq","2021-01-11 11:48:18.520218+00:00",1,0,2,4,16,9,"Chrome Test",1,3,2,1,1,2,1,3,2,1,1,1,2,0,1,0,1,0,2,0,1,0,2,0,1,0,74,"diverse","uni",56124,4
"42","sr4c99fh","2021-01-11 11:48:18.550288+00:00",1,10,1,2,16,9,"Chrome Test",2,2,2,3,2,1,1,4,1,3,2,1,1,0,1,0,1,0,1,0,1,0,2,0,1,0,64,"diverse","uni",41876,0
"43","9zl5vekc","2021-01-11 11:48:18.577689+00:00",1,10,2,1,16,9,"Chrome Test",2,1,1,3,1,4,1,2,2,1,1,4,1,0,2,0,1,0,1,0,1,0,2,0,2,0,36,"diverse","uni",55063,0
"44","dqt5l146","2021-01-11 11:48:18.615065+00:00",1,10,2,3,16,9,"Chrome Test",1,2,2,3,1,4,1,3,1,3,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,28,"diverse","uni",33636,3
"45","59pq9b3i","2021-01-11 11:48:18.646301+00:00",1,10,1,2,16,9,"Chrome Test",2,1,2,4,2,4,2,2,2,3,1,1,2,0,1,0,2,0,1,0,1,0,1,0,1,0,63,"diverse","uni",44630,4
"46","mbsu08fp","2021-01-11 11:48:18.678770+00:00",1,0,1,1,16,9,"Chrome Test",2,3,1,3,1,4,1,1,1,1,1,1,2,0,1,0,1,0,2,0,2,0,1,0,1,0,46,"diverse","uni",57580,0
"47","0gqm4cht","2021-01-11 11:48:18.712788+00:00",1,0,1,2,16,9,"Chrome Test",2,2,2,4,1,4,2,4,1,3,1,2,1,0,1,0,2,0,1,0,2,0,1,0,1,0,29,"diverse","uni",41676,3
"48","2gjulu6q","2021-01-11 11:48:18.756228+00:00",1,10,2,1,16,9,"Chrome Test",2,4,1,3,2,4,1,3,1,2,2,3,2,0,2,0,2,0,1,0,2,0,2,0,2,0,71,"diverse","uni",38766,3
"49","lw1bgxa5","2021-01-11 11:48:18.794605+00:00",1,0,1,4,16,9,"Chrome Test",2,3,1,3,2,3,1,2,2,3,2,1,2,0,1,0,1,0,2,0,2,0,1,0,2,0,71,"diverse","uni",59743,5
"50","yjfre1l9","2021-01-11 11:48:18.832832+00:00",1,10,1,3,16,9,"Chrome Test",1,3,2,2,2,2,2,1,2,1,1,4,2,0,2,0,1,0,2,0,1,0,1,0,2,0,70,"diverse","uni",36849,4
"51","u7swk3zx","2021-01-11 11:48:18.867076+00:00",1,0,2,4,16,9,"Chrome Test",1,2,2,4,2,4,1,3,1,4,1,2,2,0,1,0,1,0,1,0,1,0,1,0,1,0,41,"diverse","uni",32996,5
"52","2d82uldb","2021-01-11 11:48:18.903443+00:00",1,0,1,1,16,9,"Chrome Test",1,3,2,2,1,2,1,2,1,1,1,4,2,0,2,0,2,0,2,0,2,0,2,0,2,0,34,"diverse","uni",35487,3
"53","ho0956gv","2021-01-11 11:48:18.936093+00:00",1,0,1,3,16,9,"Chrome Test",2,2,2,3,1,2,1,1,2,2,1,1,1,0,1,0,1,0,1,0,2,0,2,0,2,0,86,"diverse","uni",44647,5
"54","2r5pmmpp","2021-01-11 11:48:18.968852+00:00",1,10,1,3,16,9,"Chrome Test",2,1,1,3,1,3,2,4,2,1,1,1,2,0,2,0,1,0,2,0,2,0,2,0,2,0,88,"diverse","uni",61202,1
"55","qej1wdxj","2021-01-11 11:48:18.999865+00:00",1,0,1,4,16,9,"Chrome Test",1,2,1,2,2,4,2,4,1,4,1,2,2,0,1,0,2,0,2,0,2,0,1,0,1,0,23,"diverse","uni",34229,5
"56","l7xpa22i","2021-01-11 11:48:19.027220+00:00",1,0,1,3,16,9,"Chrome Test",1,3,1,4,1,3,2,1,1,2,2,2,1,0,1,0,1,0,2,0,2,0,1,0,1,0,34,"diverse","uni",33456,3
"57","6pyr0egu","2021-01-11 11:48:19.057417+00:00",1,10,1,3,16,9,"Chrome Test",1,2,1,1,1,4,1,3,2,3,1,4,2,0,2,0,2,0,1,0,2,0,1,0,1,0,95,"diverse","uni",50681,2
"58","9eu4qfn6","2021-01-11 11:48:19.089193+00:00",1,10,2,3,16,9,"Chrome Test",1,1,1,1,2,1,1,4,1,2,1,1,1,0,2,0,2,0,1,0,2,0,2,0,2,0,25,"diverse","uni",64780,4
"59","wommm4ot","2021-01-11 11:48:19.119459+00:00",1,0,1,2,16,9,"Chrome Test",2,1,2,1,1,3,2,4,2,4,1,1,2,0,2,0,1,0,2,0,2,0,2,0,2,0,21,"diverse","uni",46378,4
"60","vjv7oulc","2021-01-11 11:48:19.150185+00:00",1,0,1,4,16,9,"Chrome Test",1,2,1,3,2,3,2,1,2,4,2,3,1,0,1,0,1,0,2,0,2,0,2,0,1,0,59,"diverse","uni",37047,3
"61","aarwm4is","2021-01-11 11:48:19.178531+00:00",1,10,2,1,16,9,"Chrome Test",1,2,1,1,1,3,2,3,2,3,1,3,1,0,1,0,2,0,1,0,2,0,1,0,2,0,35,"diverse","uni",33466,0
"62","aym2l512","2021-01-11 11:48:19.210672+00:00",1,0,2,1,16,9,"Chrome Test",1,2,2,1,1,1,2,4,1,1,2,1,1,0,2,0,1,0,2,0,2,0,2,0,1,0,88,"diverse","uni",63546,1
"63","cmm31v62","2021-01-11 11:48:19.239418+00:00",1,0,2,4,16,9,"Chrome Test",1,4,2,4,1,4,1,2,1,3,1,1,2,0,2,0,1,0,1,0,1,0,1,0,1,0,18,"diverse","uni",63278,5
"64","9hqe1nrx","2021-01-11 11:48:19.268203+00:00",1,10,1,2,16,9,"Chrome Test",2,1,2,4,1,4,1,1,2,1,2,1,1,0,1,0,1,0,1,0,2,0,2,0,1,0,87,"diverse","uni",40124,4
"65","kylttary","2021-01-11 11:48:19.296279+00:00",1,0,1,3,16,9,"Chrome Test",1,3,1,4,1,1,1,4,2,3,2,1,2,0,2,0,2,0,2,0,2,0,1,0,1,0,37,"diverse","uni",55452,5
"66","iwe7r328","2021-01-11 11:48:19.325434+00:00",1,10,1,4,16,9,"Chrome Test",1,4,2,1,2,1,2,4,2,1,2,1,1,0,2,0,1,0,2,0,1,0,2,0,2,0,26,"diverse","uni",64466,5
"67","y5eiaq3c","2021-01-11 11:48:19.356277+00:00",1,10,1,1,16,9,"Chrome Test",1,4,1,4,1,3,1,2,1,2,1,4,2,0,2,0,2,0,2,0,2,0,2,0,1,0,21,"diverse","uni",60640,1
"68","goft7hba","2021-01-11 11:48:19.386418+00:00",1,0,2,1,16,9,"Chrome Test",2,3,2,3,2,3,2,3,2,1,2,2,1,0,2,0,2,0,2,0,1,0,2,0,2,0,60,"diverse","uni",34040,2
"69","p6tihq5v","2021-01-11 11:48:19.415217+00:00",1,10,1,1,16,9,"Chrome Test",1,2,1,3,2,2,2,2,1,3,1,4,2,0,2,0,1,0,2,0,2,0,2,0,2,0,43,"diverse","uni",43607,2
"70","rrc4edie","2021-01-11 11:48:19.443236+00:00",1,10,1,1,16,9,"Chrome Test",1,2,2,2,2,1,2,2,1,4,1,2,1,0,2,0,1,0,1,0,1,0,2,0,1,0,66,"diverse","uni",61004,4
"71","t9diqb84","2021-01-11 11:48:19.474074+00:00",1,0,2,4,16,9,"Chrome Test",2,3,1,3,2,4,2,2,2,2,1,1,2,0,2,0,1,0,1,0,1,0,1,0,2,0,37,"diverse","uni",47430,0
"72","uvhxrnpu","2021-01-11 11:48:19.504932+00:00",1,0,2,4,16,9,"Chrome Test",1,3,2,3,1,1,1,2,1,4,1,4,2,0,1,0,2,0,2,0,2,0,1,0,2,0,75,"diverse","uni",45204,4
"73","mh9c0iq9","2021-01-11 11:48:19.535058+00:00",1,10,2,4,16,9,"Chrome Test",1,1,2,3,2,3,1,3,1,3,1,1,2,0,2,0,2,0,2,0,1,0,1,0,1,0,74,"diverse","uni",68615,2
"74","wok1jjto","2021-01-11 11:48:19.566323+00:00",1,0,2,2,16,9,"Chrome Test",1,3,1,2,1,2,1,4,2,1,1,3,1,0,1,0,2,0,2,0,2,0,2,0,2,0,99,"diverse","uni",30647,0
"75","qdhdbrcq","2021-01-11 11:48:19.595884+00:00",1,0,1,1,16,9,"Chrome Test",1,4,2,1,1,2,2,4,2,4,2,4,1,0,2,0,1,0,2,0,2,0,2,0,2,0,59,"diverse","uni",65893,5
"76","nfg0ith0","2021-01-11 11:48:19.704194+00:00",1,10,2,2,16,9,"Chrome Test",1,4,1,3,2,2,1,3,2,1,2,4,1,0,2,0,1,0,1,0,2,0,1,0,1,0,18,"diverse","uni",51800,2
"77","2y3pz4p0","2021-01-11 11:48:19.737147+00:00",1,0,1,2,16,9,"Chrome Test",1,4,2,4,1,2,2,4,1,3,2,1,2,0,2,0,1,0,2,0,1,0,1,0,1,0,59,"diverse","uni",68348,5
"78","e2z2sorr","2021-01-11 11:48:19.769056+00:00",1,0,1,1,16,9,"Chrome Test",2,4,2,1,1,4,1,2,2,2,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,40,"diverse","uni",45159,4
"79","yug1b3wo","2021-01-11 11:48:19.800611+00:00",1,10,1,3,16,9,"Chrome Test",1,4,1,4,1,3,2,1,2,1,1,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,50,"diverse","uni",51332,1
"80","a6c9wfqn","2021-01-11 11:48:19.830281+00:00",1,10,1,4,16,9,"Chrome Test",1,1,1,2,1,3,1,4,1,4,1,4,1,0,1,0,2,0,1,0,2,0,2,0,2,0,99,"diverse","uni",53280,0
"81","6motr8t3","2021-01-11 11:48:19.859747+00:00",1,10,2,4,16,9,"Chrome Test",1,4,2,4,2,1,2,1,2,4,1,1,2,0,2,0,2,0,1,0,2,0,2,0,1,0,83,"diverse","uni",41881,2
"82","f4a1ofc3","2021-01-11 11:48:19.892352+00:00",1,10,2,4,16,9,"Chrome Test",2,2,1,3,2,1,2,1,1,3,2,2,2,0,1,0,2,0,1,0,1,0,2,0,1,0,84,"diverse","uni",58694,3
"83","1q2ug8x6","2021-01-11 11:48:19.922735+00:00",1,10,1,3,16,9,"Chrome Test",2,2,2,1,2,3,2,3,1,2,1,1,2,0,2,0,1,0,2,0,2,0,1,0,2,0,51,"diverse","uni",44532,0
"84","yb03yu9q","2021-01-11 11:48:19.953043+00:00",1,10,1,4,16,9,"Chrome Test",2,3,2,4,2,1,2,4,1,3,1,3,1,0,2,0,2,0,2,0,1,0,2,0,2,0,31,"diverse","uni",67851,3
"85","ju4umbfv","2021-01-11 11:48:19.986128+00:00",1,0,1,2,16,9,"Chrome Test",1,4,1,1,1,1,1,3,2,3,1,4,1,0,2,0,1,0,1,0,2,0,2,0,2,0,71,"diverse","uni",62452,5
"86","8blrp2h6","2021-01-11 11:48:20.017259+00:00",1,0,1,1,16,9,"Chrome Test",2,1,2,3,2,4,1,2,2,4,1,3,2,0,2,0,1,0,2,0,2,0,2,0,2,0,67,"diverse","uni",37380,4
"87","yqxgp0dy","2021-01-11 11:48:20.046282+00:00",1,0,2,4,16,9,"Chrome Test",1,3,1,4,1,1,1,4,1,2,1,3,1,0,1,0,2,0,1,0,1,0,1,0,2,0,68,"diverse","uni",44014,4
"88","pzvad8yq","2021-01-11 11:48:20.077895+00:00",1,0,1,1,16,9,"Chrome Test",2,2,2,2,1,2,2,2,2,3,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,26,"diverse","uni",43955,2
"89","s08e2dyb","2021-01-11 11:48:20.109272+00:00",1,0,2,4,16,9,"Chrome Test",2,2,2,2,1,1,2,1,1,2,1,1,2,0,1,0,1,0,1,0,1,0,2,0,2,0,46,"diverse","uni",63652,2
"90","fz5h5vtj","2021-01-11 11:48:20.139812+00:00",1,0,2,4,16,9,"Chrome Test",2,3,1,2,1,4,1,2,2,3,1,4,2,0,1,0,2,0,2,0,1,0,1,0,2,0,53,"diverse","uni",60821,1
"91","7v4ewlaf","2021-01-11 11:48:20.170109+00:00",1,10,1,2,16,9,"Chrome Test",2,4,1,3,2,2,2,4,1,2,1,4,2,0,2,0,1,0,1,0,2,0,1,0,1,0,71,"diverse","uni",60407,3
"92","vth4dbgp","2021-01-11 11:48:20.199731+00:00",1,10,2,1,16,9,"Chrome Test",1,3,1,4,2,3,2,2,2,1,1,3,1,0,2,0,1,0,2,0,1,0,1,0,2,0,36,"diverse","uni",49768,1
"93","2c7cpcm3","2021-01-11 11:48:20.227217+00:00",1,10,1,2,16,9,"Chrome Test",1,4,2,3,1,2,2,3,2,2,1,3,1,0,2,0,2,0,1,0,1,0,2,0,1,0,91,"diverse","uni",52236,1
"94","iij7sv0y","2021-01-11 11:48:20.254910+00:00",1,0,2,3,16,9,"Chrome Test",2,1,1,2,2,2,1,4,1,4,1,3,1,0,2,0,1,0,1,0,1,0,2,0,1,0,25,"diverse","uni",50696,4
"95","x0ytzo21","2021-01-11 11:48:20.284476+00:00",1,10,2,3,16,9,"Chrome Test",1,4,2,3,2,3,2,2,2,3,1,1,2,0,2,0,1,0,2,0,2,0,2,0,1,0,60,"diverse","uni",33368,2
"96","460fbckc","2021-01-11 11:48:20.312701+00:00",1,0,1,1,16,9,"Chrome Test",2,2,2,1,2,2,2,1,1,2,2,4,2,0,1,0,1,0,2,0,1,0,2,0,2,0,64,"diverse","uni",38465,0
"97","mkyf1qx1","2021-01-11 11:48:20.342720+00:00",1,0,1,3,16,9,"Chrome Test",1,1,2,3,2,2,1,4,2,2,2,3,1,0,2,0,2,0,1,0,1,0,2,0,1,0,33,"diverse","uni",45458,5
"98","11xofh4z","2021-01-11 11:48:20.374977+00:00",1,10,2,3,16,9,"Chrome Test",1,4,1,3,1,4,1,1,1,1,1,2,1,0,1,0,1,0,2,0,1,0,2,0,2,0,96,"diverse","uni",44963,0
"99","uq2m3zks","2021-01-11 11:48:20.405795+00:00",1,10,2,2,16,9,"Chrome Test",2,1,1,1,2,3,1,1,1,3,2,1,2,0,2,0,2,0,2,0,2,0,1,0,2,0,82,"diverse","uni",51758,2
"100","ocs8r4qm","2021-01-11 11:48:20.432660+00:00",1,10,1,3,16,9,"Chrome Test",1,1,1,4,2,4,2,4,1,1,1,4,2,0,2,0,1,0,1,0,1,0,2,0,2,0,31,"diverse","uni",46043,1
"101","1m7k4uli","2021-01-11 11:48:20.459689+00:00",1,10,1,4,16,9,"Chrome Test",2,3,2,2,2,2,1,2,1,2,2,4,2,0,2,0,2,0,2,0,2,0,1,0,2,0,62,"diverse","uni",54151,3
"102","to39acrd","2021-01-11 11:48:20.491356+00:00",1,10,1,2,16,9,"Chrome Test",2,1,1,4,2,2,2,2,1,1,2,2,2,0,1,0,1,0,1,0,2,0,1,0,1,0,46,"diverse","uni",43425,3
"103","1njozvvq","2021-01-11 11:48:20.522267+00:00",1,10,1,2,16,9,"Chrome Test",2,3,1,2,2,3,2,4,2,2,2,3,1,0,1,0,1,0,2,0,1,0,2,0,2,0,35,"diverse","uni",52171,2
"104","553dggmz","2021-01-11 11:48:20.553570+00:00",1,0,2,2,16,9,"Chrome Test",1,1,2,2,2,4,1,1,1,2,1,4,1,0,2,0,2,0,2,0,1,0,2,0,1,0,92,"diverse","uni",52044,1
"105","p954w3h9","2021-01-11 11:48:20.583126+00:00",1,0,1,1,16,9,"Chrome Test",2,1,1,4,1,2,1,2,2,2,1,3,2,0,2,0,1,0,1,0,1,0,1,0,2,0,67,"diverse","uni",34167,1
"106","vyhwb4xz","2021-01-11 11:48:20.615822+00:00",1,10,1,1,16,9,"Chrome Test",1,2,1,1,1,3,1,1,2,3,2,1,1,0,1,0,1,0,2,0,2,0,1,0,1,0,83,"diverse","uni",56186,3
"107","w4uio2u9","2021-01-11 11:48:20.645354+00:00",1,10,1,1,16,9,"Chrome Test",1,2,1,3,1,4,1,2,1,1,2,1,1,0,1,0,1,0,2,0,2,0,2,0,2,0,74,"diverse","uni",30971,0
"108","ka8grtkx","2021-01-11 11:48:20.675733+00:00",1,0,2,3,16,9,"Chrome Test",1,2,2,1,2,3,1,2,2,1,2,2,1,0,2,0,1,0,2,0,2,0,1,0,1,0,54,"diverse","uni",50363,1
"109","ra9qsqpp","2021-01-11 11:48:20.706653+00:00",1,10,2,2,16,9,"Chrome Test",2,1,2,3,2,1,1,1,2,2,1,3,1,0,1,0,1,0,1,0,2,0,1,0,1,0,54,"diverse","uni",53102,4
"110","9liu16zy","2021-01-11 11:48:20.736380+00:00",1,10,2,3,16,9,"Chrome Test",2,2,1,2,2,2,2,3,1,1,2,4,1,0,1,0,1,0,2,0,2,0,2,0,2,0,75,"diverse","uni",31924,4
