participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.review_weather,player.review_instructions,player.matching_probability,player.event_decision,player.payment_mechanism,player.pivotal_lottery,player.pivotal_draw,player.payoff,group.id_in_subsession,subsession.round_number,subsession.pivotal_round,subsession.lottery_success,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
29,487wgjum,,1,22,21,Outro,Results,2021-04-05 19:58:11.756412+00:00,1,,,10.00,29,0,3,12,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
30,egkzwwb7,,1,22,21,Outro,Results,2021-04-05 19:58:11.779432+00:00,1,,,10.00,30,0,4,80,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
31,hp0066y5,,1,22,21,Outro,Results,2021-04-05 19:58:11.801193+00:00,1,,,0.00,31,1,4,74,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
32,rzrine42,,1,22,21,Outro,Results,2021-04-05 19:58:11.824735+00:00,1,,,10.00,32,1,5,46,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
33,g9vcrz6k,,1,22,21,Outro,Results,2021-04-05 19:58:11.847645+00:00,1,,,10.00,33,5,2,79,E13,bet,72,,10.00,1,1,1,1,0kihcn1h,,,,,0
34,1di75fzi,,1,22,21,Outro,Results,2021-04-05 19:58:11.870152+00:00,1,,,10.00,34,5,0,82,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
35,bqrm3nek,,1,22,21,Outro,Results,2021-04-05 19:58:11.894118+00:00,1,,,10.00,35,1,4,14,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
36,ut9j4zy0,,1,22,21,Outro,Results,2021-04-05 19:58:11.915934+00:00,1,,,10.00,36,5,2,88,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
37,ae35774r,,1,22,21,Outro,Results,2021-04-05 19:58:11.938096+00:00,1,,,10.00,37,5,4,20,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
38,fmj6a90v,,1,22,21,Outro,Results,2021-04-05 19:58:11.960469+00:00,1,,,0.00,38,2,1,9,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
39,dibl7fa4,,1,22,21,Outro,Results,2021-04-05 19:58:11.983194+00:00,1,,,10.00,39,1,5,48,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
40,7tzfj99x,,1,22,21,Outro,Results,2021-04-05 19:58:12.006722+00:00,1,,,10.00,40,0,3,59,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
41,6fhwm3td,,1,22,21,Outro,Results,2021-04-05 19:58:12.028923+00:00,1,,,10.00,41,0,4,78,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
42,iabxc8n7,,1,22,21,Outro,Results,2021-04-05 19:58:12.050871+00:00,1,,,0.00,42,1,1,55,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
43,p7nm9em7,,1,22,21,Outro,Results,2021-04-05 19:58:12.072955+00:00,1,,,0.00,43,4,4,60,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
44,1i5zis7m,,1,22,21,Outro,Results,2021-04-05 19:58:12.095584+00:00,1,,,10.00,44,0,4,97,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
45,w6514gpm,,1,22,21,Outro,Results,2021-04-05 19:58:12.117786+00:00,1,,,0.00,45,5,2,75,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
46,web5hdo4,,1,22,21,Outro,Results,2021-04-05 19:58:12.140828+00:00,1,,,0.00,46,2,1,41,E3,bet,38,,0.00,1,1,1,1,0kihcn1h,,,,,0
47,ebt4kr0w,,1,22,21,Outro,Results,2021-04-05 19:58:12.163169+00:00,1,,,0.00,47,3,2,18,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
48,d19lg6ef,,1,22,21,Outro,Results,2021-04-05 19:58:12.186227+00:00,1,,,10.00,48,1,4,40,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
49,bjiwef4j,,1,22,21,Outro,Results,2021-04-05 19:58:12.208964+00:00,1,,,0.00,49,3,2,73,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
50,ok7undju,,1,22,21,Outro,Results,2021-04-05 19:58:12.231606+00:00,1,,,10.00,50,1,5,40,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
51,pjygcafc,,1,22,21,Outro,Results,2021-04-05 19:58:12.254097+00:00,1,,,0.00,51,0,1,66,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
52,mh6y037k,,1,22,21,Outro,Results,2021-04-05 19:58:12.278674+00:00,1,,,0.00,52,0,1,73,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
53,urcrkj2m,,1,22,21,Outro,Results,2021-04-05 19:58:12.301266+00:00,1,,,10.00,53,1,3,84,E23,bet,9,,10.00,1,1,1,1,0kihcn1h,,,,,0
54,gb74pe8h,,1,22,21,Outro,Results,2021-04-05 19:58:12.323911+00:00,1,,,10.00,54,4,1,60,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
55,9wurd4pb,,1,22,21,Outro,Results,2021-04-05 19:58:12.346705+00:00,1,,,0.00,55,1,0,7,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
56,lz0klcba,,1,22,21,Outro,Results,2021-04-05 19:58:12.368950+00:00,1,,,10.00,56,2,2,63,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
57,qjmqs16w,,1,22,21,Outro,Results,2021-04-05 19:58:12.392449+00:00,1,,,10.00,57,4,4,7,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
58,9xv8xalq,,1,22,21,Outro,Results,2021-04-05 19:58:12.417498+00:00,1,,,10.00,58,4,0,90,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
59,ctxfugk9,,1,22,21,Outro,Results,2021-04-05 19:58:12.442194+00:00,1,,,10.00,59,1,0,73,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
60,tbeg4yre,,1,22,21,Outro,Results,2021-04-05 19:58:12.465565+00:00,1,,,10.00,60,0,2,92,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
61,0a9vb7sw,,1,22,21,Outro,Results,2021-04-05 19:58:12.488712+00:00,1,,,10.00,61,1,4,37,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
62,kyrw96ym,,1,22,21,Outro,Results,2021-04-05 19:58:12.554439+00:00,1,,,10.00,62,0,5,21,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
63,213wj6m2,,1,22,21,Outro,Results,2021-04-05 19:58:12.577017+00:00,1,,,0.00,63,5,2,14,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
64,pii3t75g,,1,22,21,Outro,Results,2021-04-05 19:58:12.599480+00:00,1,,,10.00,64,3,2,11,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
65,13jbscv4,,1,22,21,Outro,Results,2021-04-05 19:58:12.622545+00:00,1,,,0.00,65,3,0,20,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
66,7k7witri,,1,22,21,Outro,Results,2021-04-05 19:58:12.647098+00:00,1,,,0.00,66,2,5,42,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
67,5m61r3pv,,1,22,21,Outro,Results,2021-04-05 19:58:12.669987+00:00,1,,,0.00,67,3,2,53,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
68,mpnynwvb,,1,22,21,Outro,Results,2021-04-05 19:58:12.695059+00:00,1,,,0.00,68,1,0,40,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
69,upikhpgv,,1,22,21,Outro,Results,2021-04-05 19:58:12.717946+00:00,1,,,10.00,69,1,4,52,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
70,7vmai1es,,1,22,21,Outro,Results,2021-04-05 19:58:12.741838+00:00,1,,,10.00,70,3,4,37,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
71,dy99fuiy,,1,22,21,Outro,Results,2021-04-05 19:58:12.764897+00:00,1,,,10.00,71,3,3,61,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
72,csx04k1n,,1,22,21,Outro,Results,2021-04-05 19:58:12.787336+00:00,1,,,0.00,72,2,1,83,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
73,4iqhdgbs,,1,22,21,Outro,Results,2021-04-05 19:58:12.810753+00:00,1,,,0.00,73,3,5,46,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
74,j6g4vbuc,,1,22,21,Outro,Results,2021-04-05 19:58:12.832876+00:00,1,,,10.00,74,5,3,84,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
75,j3whsbot,,1,22,21,Outro,Results,2021-04-05 19:58:12.856680+00:00,1,,,10.00,75,2,1,93,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
76,er75v1o6,,1,22,21,Outro,Results,2021-04-05 19:58:12.879071+00:00,1,,,0.00,76,4,5,82,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
77,vshu83jt,,1,22,21,Outro,Results,2021-04-05 19:58:12.901665+00:00,1,,,10.00,77,3,2,98,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
78,k0qlkxy1,,1,22,21,Outro,Results,2021-04-05 19:58:12.924367+00:00,1,,,10.00,78,0,4,64,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
79,3zk14vh9,,1,22,21,Outro,Results,2021-04-05 19:58:12.947824+00:00,1,,,0.00,79,1,2,66,E3,bet,40,,0.00,1,1,1,1,0kihcn1h,,,,,0
80,r0ghsgk9,,1,22,21,Outro,Results,2021-04-05 19:58:12.970271+00:00,1,,,10.00,80,3,3,50,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
81,2phi26k3,,1,22,21,Outro,Results,2021-04-05 19:58:12.993058+00:00,1,,,10.00,81,2,5,39,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
82,m1s2m9ky,,1,22,21,Outro,Results,2021-04-05 19:58:13.015319+00:00,1,,,0.00,82,4,5,76,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
83,q3g2xok9,,1,22,21,Outro,Results,2021-04-05 19:58:13.037331+00:00,1,,,0.00,83,2,2,80,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
84,fkq7qbn5,,1,22,21,Outro,Results,2021-04-05 19:58:13.061236+00:00,1,,,0.00,84,2,5,92,E23,bet,22,,0.00,1,1,1,1,0kihcn1h,,,,,0
85,efmv9zat,,1,22,21,Outro,Results,2021-04-05 19:58:13.083948+00:00,1,,,0.00,85,2,5,90,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
86,ufkzq8ux,,1,22,21,Outro,Results,2021-04-05 19:58:13.107922+00:00,1,,,10.00,86,0,4,13,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
87,ur7i8l1g,,1,22,21,Outro,Results,2021-04-05 19:58:13.130963+00:00,1,,,10.00,87,5,2,89,E3,lottery,90,68,10.00,1,1,1,1,0kihcn1h,,,,,0
88,mreqmhba,,1,22,21,Outro,Results,2021-04-05 19:58:13.154618+00:00,1,,,0.00,88,2,5,24,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
89,o4lol3lp,,1,22,21,Outro,Results,2021-04-05 19:58:13.177414+00:00,1,,,10.00,89,3,3,55,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
90,ctyo9mxy,,1,22,21,Outro,Results,2021-04-05 19:58:13.200182+00:00,1,,,10.00,90,3,1,37,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
91,9nyh1jif,,1,22,21,Outro,Results,2021-04-05 19:58:13.222807+00:00,1,,,0.00,91,1,5,22,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
92,htd922yh,,1,22,21,Outro,Results,2021-04-05 19:58:13.245960+00:00,1,,,0.00,92,3,1,87,E23,bet,75,,0.00,1,1,1,1,0kihcn1h,,,,,0
93,9oayzx1n,,1,22,21,Outro,Results,2021-04-05 19:58:13.268693+00:00,1,,,10.00,93,3,4,66,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
94,2tosylg7,,1,22,21,Outro,Results,2021-04-05 19:58:13.291750+00:00,1,,,10.00,94,2,0,57,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
95,hj5ndwzt,,1,22,21,Outro,Results,2021-04-05 19:58:13.314716+00:00,1,,,10.00,95,4,4,53,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
96,s93xmcb6,,1,22,21,Outro,Results,2021-04-05 19:58:13.338593+00:00,1,,,0.00,96,1,5,96,E13,bet,34,,0.00,1,1,1,1,0kihcn1h,,,,,0
97,5c4k7wkq,,1,22,21,Outro,Results,2021-04-05 19:58:13.362415+00:00,1,,,10.00,97,0,2,74,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
98,3m2v7551,,1,22,21,Outro,Results,2021-04-05 19:58:13.386331+00:00,1,,,10.00,98,4,0,7,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
99,klrujp5k,,1,22,21,Outro,Results,2021-04-05 19:58:13.409716+00:00,1,,,0.00,99,4,2,91,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
100,y52wjawu,,1,22,21,Outro,Results,2021-04-05 19:58:13.431882+00:00,1,,,10.00,100,2,0,99,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
101,vpfcoe2o,,1,22,21,Outro,Results,2021-04-05 19:58:13.454686+00:00,1,,,10.00,101,0,5,90,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
102,aym4zjp5,,1,22,21,Outro,Results,2021-04-05 19:58:13.477733+00:00,1,,,10.00,102,3,2,87,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
103,4mn71ymt,,1,22,21,Outro,Results,2021-04-05 19:58:13.499765+00:00,1,,,0.00,103,1,5,96,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
104,6657t4w8,,1,22,21,Outro,Results,2021-04-05 19:58:13.524265+00:00,1,,,0.00,104,3,1,88,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
105,zl48h839,,1,22,21,Outro,Results,2021-04-05 19:58:13.548667+00:00,1,,,0.00,105,4,2,89,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
106,roaj31ni,,1,22,21,Outro,Results,2021-04-05 19:58:13.574615+00:00,1,,,0.00,106,2,1,80,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
107,9hk1q27i,,1,22,21,Outro,Results,2021-04-05 19:58:13.605534+00:00,1,,,10.00,107,0,0,4,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
108,2dbt31lj,,1,22,21,Outro,Results,2021-04-05 19:58:13.636312+00:00,1,,,0.00,108,5,3,55,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
109,cedb9zid,,1,22,21,Outro,Results,2021-04-05 19:58:13.663737+00:00,1,,,0.00,109,5,5,76,E3,bet,58,,0.00,1,1,1,1,0kihcn1h,,,,,0
110,ixc2uz6p,,1,22,21,Outro,Results,2021-04-05 19:58:13.754813+00:00,1,,,0.00,110,2,5,16,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
111,tys18oat,,1,22,21,Outro,Results,2021-04-05 19:58:13.785688+00:00,1,,,10.00,111,1,4,92,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
112,x65mihwj,,1,22,21,Outro,Results,2021-04-05 19:58:13.812430+00:00,1,,,0.00,112,4,5,26,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
113,hmwbaq2b,,1,22,21,Outro,Results,2021-04-05 19:58:13.837618+00:00,1,,,0.00,113,3,4,35,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
114,qy5ppc73,,1,22,21,Outro,Results,2021-04-05 19:58:13.861994+00:00,1,,,0.00,114,2,1,25,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
115,66nlmvxj,,1,22,21,Outro,Results,2021-04-05 19:58:13.888684+00:00,1,,,10.00,115,0,3,27,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
116,njbr9n6m,,1,22,21,Outro,Results,2021-04-05 19:58:13.912830+00:00,1,,,0.00,116,4,1,16,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
117,7y0q02md,,1,22,21,Outro,Results,2021-04-05 19:58:13.937408+00:00,1,,,10.00,117,0,0,83,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
118,jwp26sn5,,1,22,21,Outro,Results,2021-04-05 19:58:13.961285+00:00,1,,,10.00,118,3,2,42,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
119,8ncwi5gf,,1,22,21,Outro,Results,2021-04-05 19:58:13.987038+00:00,1,,,0.00,119,2,1,27,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
120,ca0ppvg0,,1,22,21,Outro,Results,2021-04-05 19:58:14.012072+00:00,1,,,0.00,120,2,5,93,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
121,m2mx5ofu,,1,22,21,Outro,Results,2021-04-05 19:58:14.036814+00:00,1,,,10.00,121,2,4,4,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
122,82ixcagz,,1,22,21,Outro,Results,2021-04-05 19:58:14.061360+00:00,1,,,10.00,122,4,1,34,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
123,038mnyt5,,1,22,21,Outro,Results,2021-04-05 19:58:14.086237+00:00,1,,,0.00,123,0,5,61,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
124,1fshygfz,,1,22,21,Outro,Results,2021-04-05 19:58:14.111006+00:00,1,,,10.00,124,5,1,30,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
125,vv8uwpub,,1,22,21,Outro,Results,2021-04-05 19:58:14.135308+00:00,1,,,10.00,125,0,0,36,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
126,4vqcyu2f,,1,22,21,Outro,Results,2021-04-05 19:58:14.160097+00:00,1,,,10.00,126,3,5,5,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
127,zhp62d8h,,1,22,21,Outro,Results,2021-04-05 19:58:14.183784+00:00,1,,,0.00,127,5,2,12,E1,bet,0,,0.00,1,1,1,1,0kihcn1h,,,,,0
128,ddik44sp,,1,22,21,Outro,Results,2021-04-05 19:58:14.209559+00:00,1,,,0.00,128,0,0,61,E3,bet,43,,0.00,1,1,1,1,0kihcn1h,,,,,0
129,hb1y412w,,1,22,21,Outro,Results,2021-04-05 19:58:14.233716+00:00,1,,,10.00,129,3,4,38,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
130,sv6atoh2,,1,22,21,Outro,Results,2021-04-05 19:58:14.257772+00:00,1,,,0.00,130,1,3,83,E1,lottery,88,95,0.00,1,1,1,1,0kihcn1h,,,,,0
131,it1i8euw,,1,22,21,Outro,Results,2021-04-05 19:58:14.282942+00:00,1,,,10.00,131,5,4,7,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
132,15d5v7ut,,1,22,21,Outro,Results,2021-04-05 19:58:14.308489+00:00,1,,,10.00,132,0,5,36,E2,lottery,68,64,10.00,1,1,1,1,0kihcn1h,,,,,0
133,wpylmm8n,,1,22,21,Outro,Results,2021-04-05 19:58:14.332544+00:00,1,,,0.00,133,4,4,54,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
134,adsimlu7,,1,22,21,Outro,Results,2021-04-05 19:58:14.358121+00:00,1,,,0.00,134,0,1,31,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
135,13pmx9zi,,1,22,21,Outro,Results,2021-04-05 19:58:14.382304+00:00,1,,,0.00,135,3,2,97,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
136,avx305ja,,1,22,21,Outro,Results,2021-04-05 19:58:14.407185+00:00,1,,,10.00,136,4,5,42,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
137,p39ffrsk,,1,22,21,Outro,Results,2021-04-05 19:58:14.431929+00:00,1,,,10.00,137,1,5,7,E13,lottery,47,25,10.00,1,1,1,1,0kihcn1h,,,,,0
138,yfq0xh7p,,1,22,21,Outro,Results,2021-04-05 19:58:14.455284+00:00,1,,,0.00,138,1,0,18,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
139,lkpb2pgv,,1,22,21,Outro,Results,2021-04-05 19:58:14.479802+00:00,1,,,10.00,139,3,1,4,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
140,7xjgf9o5,,1,22,21,Outro,Results,2021-04-05 19:58:14.504341+00:00,1,,,10.00,140,0,1,21,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
141,l6yn113l,,1,22,21,Outro,Results,2021-04-05 19:58:14.529025+00:00,1,,,0.00,141,4,0,72,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
142,in2vitpr,,1,22,21,Outro,Results,2021-04-05 19:58:14.553747+00:00,1,,,0.00,142,3,2,35,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
143,rffm3fsy,,1,22,21,Outro,Results,2021-04-05 19:58:14.577899+00:00,1,,,10.00,143,0,5,34,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
144,8vmqsm7k,,1,22,21,Outro,Results,2021-04-05 19:58:14.602495+00:00,1,,,0.00,144,5,3,94,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
145,3fs592oj,,1,22,21,Outro,Results,2021-04-05 19:58:14.626651+00:00,1,,,0.00,145,2,4,87,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
146,awhwsbka,,1,22,21,Outro,Results,2021-04-05 19:58:14.651631+00:00,1,,,0.00,146,4,0,62,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
