participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.Location,player.Information,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
21,bbmy43di,,1,63,63,terminate,Results,2021-01-11 11:48:17.771719+00:00,1,,,10.00,21,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
22,xgkkr2qj,,1,63,63,terminate,Results,2021-01-11 11:48:17.812880+00:00,1,,,10.00,22,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
23,jgnnks9k,,1,63,63,terminate,Results,2021-01-11 11:48:17.843864+00:00,1,,,10.00,23,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
24,n2y5iuz8,,1,63,63,terminate,Results,2021-01-11 11:48:17.881030+00:00,1,,,10.00,24,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
25,dqoypnw4,,1,63,63,terminate,Results,2021-01-11 11:48:17.915012+00:00,1,,,10.00,25,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
26,vcgs2gq0,,1,63,63,terminate,Results,2021-01-11 11:48:17.946040+00:00,1,,,10.00,26,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
27,vs36ngjs,,1,63,63,terminate,Results,2021-01-11 11:48:17.979484+00:00,1,,,10.00,27,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
28,caaejyul,,1,63,63,terminate,Results,2021-01-11 11:48:18.108774+00:00,1,,,10.00,28,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
29,jbs7fj12,,1,63,63,terminate,Results,2021-01-11 11:48:18.138702+00:00,1,,,0.00,29,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
30,p4vss9nr,,1,63,63,terminate,Results,2021-01-11 11:48:18.171247+00:00,1,,,0.00,30,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
31,veblqbxh,,1,63,63,terminate,Results,2021-01-11 11:48:18.202153+00:00,1,,,0.00,31,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
32,sehz15ps,,1,63,63,terminate,Results,2021-01-11 11:48:18.234393+00:00,1,,,10.00,32,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
33,d40z4hvh,,1,63,63,terminate,Results,2021-01-11 11:48:18.288999+00:00,1,,,10.00,33,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
34,zordxrf2,,1,63,63,terminate,Results,2021-01-11 11:48:18.317772+00:00,1,,,0.00,34,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
35,it4rzd5s,,1,63,63,terminate,Results,2021-01-11 11:48:18.345323+00:00,1,,,10.00,35,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
36,88ru5ylo,,1,63,63,terminate,Results,2021-01-11 11:48:18.376028+00:00,1,,,0.00,36,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
37,0dpdf9cr,,1,63,63,terminate,Results,2021-01-11 11:48:18.405035+00:00,1,,,10.00,37,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
38,lsuubboy,,1,63,63,terminate,Results,2021-01-11 11:48:18.431034+00:00,1,,,10.00,38,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
39,tve9hkkw,,1,63,63,terminate,Results,2021-01-11 11:48:18.459507+00:00,1,,,10.00,39,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
40,1vvbf1mu,,1,63,63,terminate,Results,2021-01-11 11:48:18.489303+00:00,1,,,0.00,40,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
41,kh0wf7fq,,1,63,63,terminate,Results,2021-01-11 11:48:18.520218+00:00,1,,,0.00,41,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
42,sr4c99fh,,1,63,63,terminate,Results,2021-01-11 11:48:18.550288+00:00,1,,,10.00,42,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
43,9zl5vekc,,1,63,63,terminate,Results,2021-01-11 11:48:18.577689+00:00,1,,,10.00,43,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
44,dqt5l146,,1,63,63,terminate,Results,2021-01-11 11:48:18.615065+00:00,1,,,10.00,44,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
45,59pq9b3i,,1,63,63,terminate,Results,2021-01-11 11:48:18.646301+00:00,1,,,10.00,45,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
46,mbsu08fp,,1,63,63,terminate,Results,2021-01-11 11:48:18.678770+00:00,1,,,0.00,46,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
47,0gqm4cht,,1,63,63,terminate,Results,2021-01-11 11:48:18.712788+00:00,1,,,0.00,47,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
48,2gjulu6q,,1,63,63,terminate,Results,2021-01-11 11:48:18.756228+00:00,1,,,10.00,48,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
49,lw1bgxa5,,1,63,63,terminate,Results,2021-01-11 11:48:18.794605+00:00,1,,,0.00,49,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
50,yjfre1l9,,1,63,63,terminate,Results,2021-01-11 11:48:18.832832+00:00,1,,,10.00,50,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
51,u7swk3zx,,1,63,63,terminate,Results,2021-01-11 11:48:18.867076+00:00,1,,,0.00,51,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
52,2d82uldb,,1,63,63,terminate,Results,2021-01-11 11:48:18.903443+00:00,1,,,0.00,52,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
53,ho0956gv,,1,63,63,terminate,Results,2021-01-11 11:48:18.936093+00:00,1,,,0.00,53,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
54,2r5pmmpp,,1,63,63,terminate,Results,2021-01-11 11:48:18.968852+00:00,1,,,10.00,54,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
55,qej1wdxj,,1,63,63,terminate,Results,2021-01-11 11:48:18.999865+00:00,1,,,0.00,55,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
56,l7xpa22i,,1,63,63,terminate,Results,2021-01-11 11:48:19.027220+00:00,1,,,0.00,56,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
57,6pyr0egu,,1,63,63,terminate,Results,2021-01-11 11:48:19.057417+00:00,1,,,10.00,57,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
58,9eu4qfn6,,1,63,63,terminate,Results,2021-01-11 11:48:19.089193+00:00,1,,,10.00,58,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
59,wommm4ot,,1,63,63,terminate,Results,2021-01-11 11:48:19.119459+00:00,1,,,0.00,59,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
60,vjv7oulc,,1,63,63,terminate,Results,2021-01-11 11:48:19.150185+00:00,1,,,0.00,60,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
61,aarwm4is,,1,63,63,terminate,Results,2021-01-11 11:48:19.178531+00:00,1,,,10.00,61,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
62,aym2l512,,1,63,63,terminate,Results,2021-01-11 11:48:19.210672+00:00,1,,,0.00,62,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
63,cmm31v62,,1,63,63,terminate,Results,2021-01-11 11:48:19.239418+00:00,1,,,0.00,63,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
64,9hqe1nrx,,1,63,63,terminate,Results,2021-01-11 11:48:19.268203+00:00,1,,,10.00,64,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
65,kylttary,,1,63,63,terminate,Results,2021-01-11 11:48:19.296279+00:00,1,,,0.00,65,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
66,iwe7r328,,1,63,63,terminate,Results,2021-01-11 11:48:19.325434+00:00,1,,,10.00,66,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
67,y5eiaq3c,,1,63,63,terminate,Results,2021-01-11 11:48:19.356277+00:00,1,,,10.00,67,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
68,goft7hba,,1,63,63,terminate,Results,2021-01-11 11:48:19.386418+00:00,1,,,0.00,68,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
69,p6tihq5v,,1,63,63,terminate,Results,2021-01-11 11:48:19.415217+00:00,1,,,10.00,69,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
70,rrc4edie,,1,63,63,terminate,Results,2021-01-11 11:48:19.443236+00:00,1,,,10.00,70,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
71,t9diqb84,,1,63,63,terminate,Results,2021-01-11 11:48:19.474074+00:00,1,,,0.00,71,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
72,uvhxrnpu,,1,63,63,terminate,Results,2021-01-11 11:48:19.504932+00:00,1,,,0.00,72,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
73,mh9c0iq9,,1,63,63,terminate,Results,2021-01-11 11:48:19.535058+00:00,1,,,10.00,73,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
74,wok1jjto,,1,63,63,terminate,Results,2021-01-11 11:48:19.566323+00:00,1,,,0.00,74,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
75,qdhdbrcq,,1,63,63,terminate,Results,2021-01-11 11:48:19.595884+00:00,1,,,0.00,75,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
76,nfg0ith0,,1,63,63,terminate,Results,2021-01-11 11:48:19.704194+00:00,1,,,10.00,76,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
77,2y3pz4p0,,1,63,63,terminate,Results,2021-01-11 11:48:19.737147+00:00,1,,,0.00,77,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
78,e2z2sorr,,1,63,63,terminate,Results,2021-01-11 11:48:19.769056+00:00,1,,,0.00,78,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
79,yug1b3wo,,1,63,63,terminate,Results,2021-01-11 11:48:19.800611+00:00,1,,,10.00,79,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
80,a6c9wfqn,,1,63,63,terminate,Results,2021-01-11 11:48:19.830281+00:00,1,,,10.00,80,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
81,6motr8t3,,1,63,63,terminate,Results,2021-01-11 11:48:19.859747+00:00,1,,,10.00,81,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
82,f4a1ofc3,,1,63,63,terminate,Results,2021-01-11 11:48:19.892352+00:00,1,,,10.00,82,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
83,1q2ug8x6,,1,63,63,terminate,Results,2021-01-11 11:48:19.922735+00:00,1,,,10.00,83,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
84,yb03yu9q,,1,63,63,terminate,Results,2021-01-11 11:48:19.953043+00:00,1,,,10.00,84,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
85,ju4umbfv,,1,63,63,terminate,Results,2021-01-11 11:48:19.986128+00:00,1,,,0.00,85,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
86,8blrp2h6,,1,63,63,terminate,Results,2021-01-11 11:48:20.017259+00:00,1,,,0.00,86,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
87,yqxgp0dy,,1,63,63,terminate,Results,2021-01-11 11:48:20.046282+00:00,1,,,0.00,87,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
88,pzvad8yq,,1,63,63,terminate,Results,2021-01-11 11:48:20.077895+00:00,1,,,0.00,88,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
89,s08e2dyb,,1,63,63,terminate,Results,2021-01-11 11:48:20.109272+00:00,1,,,0.00,89,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
90,fz5h5vtj,,1,63,63,terminate,Results,2021-01-11 11:48:20.139812+00:00,1,,,0.00,90,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
91,7v4ewlaf,,1,63,63,terminate,Results,2021-01-11 11:48:20.170109+00:00,1,,,10.00,91,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
92,vth4dbgp,,1,63,63,terminate,Results,2021-01-11 11:48:20.199731+00:00,1,,,10.00,92,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
93,2c7cpcm3,,1,63,63,terminate,Results,2021-01-11 11:48:20.227217+00:00,1,,,10.00,93,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
94,iij7sv0y,,1,63,63,terminate,Results,2021-01-11 11:48:20.254910+00:00,1,,,0.00,94,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
95,x0ytzo21,,1,63,63,terminate,Results,2021-01-11 11:48:20.284476+00:00,1,,,10.00,95,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
96,460fbckc,,1,63,63,terminate,Results,2021-01-11 11:48:20.312701+00:00,1,,,0.00,96,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
97,mkyf1qx1,,1,63,63,terminate,Results,2021-01-11 11:48:20.342720+00:00,1,,,0.00,97,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
98,11xofh4z,,1,63,63,terminate,Results,2021-01-11 11:48:20.374977+00:00,1,,,10.00,98,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
99,uq2m3zks,,1,63,63,terminate,Results,2021-01-11 11:48:20.405795+00:00,1,,,10.00,99,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
100,ocs8r4qm,,1,63,63,terminate,Results,2021-01-11 11:48:20.432660+00:00,1,,,10.00,100,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
101,1m7k4uli,,1,63,63,terminate,Results,2021-01-11 11:48:20.459689+00:00,1,,,10.00,101,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
102,to39acrd,,1,63,63,terminate,Results,2021-01-11 11:48:20.491356+00:00,1,,,10.00,102,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
103,1njozvvq,,1,63,63,terminate,Results,2021-01-11 11:48:20.522267+00:00,1,,,10.00,103,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
104,553dggmz,,1,63,63,terminate,Results,2021-01-11 11:48:20.553570+00:00,1,,,0.00,104,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
105,p954w3h9,,1,63,63,terminate,Results,2021-01-11 11:48:20.583126+00:00,1,,,0.00,105,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
106,vyhwb4xz,,1,63,63,terminate,Results,2021-01-11 11:48:20.615822+00:00,1,,,10.00,106,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
107,w4uio2u9,,1,63,63,terminate,Results,2021-01-11 11:48:20.645354+00:00,1,,,10.00,107,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
108,ka8grtkx,,1,63,63,terminate,Results,2021-01-11 11:48:20.675733+00:00,1,,,0.00,108,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
109,ra9qsqpp,,1,63,63,terminate,Results,2021-01-11 11:48:20.706653+00:00,1,,,10.00,109,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
110,9liu16zy,,1,63,63,terminate,Results,2021-01-11 11:48:20.736380+00:00,1,,,10.00,110,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
111,b4angmm3,,1,63,63,terminate,Results,2021-01-11 11:48:20.766981+00:00,1,,,10.00,111,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
112,ojr8mzh8,,1,63,63,terminate,Results,2021-01-11 11:48:20.797128+00:00,1,,,10.00,112,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
113,r1gjaxxl,,1,63,63,terminate,Results,2021-01-11 11:48:20.825973+00:00,1,,,10.00,113,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
114,6vyu7e6z,,1,63,63,terminate,Results,2021-01-11 11:48:20.854692+00:00,1,,,10.00,114,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
115,u4cs2n9r,,1,63,63,terminate,Results,2021-01-11 11:48:20.888881+00:00,1,,,0.00,115,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
116,adv0ev3l,,1,63,63,terminate,Results,2021-01-11 11:48:20.919753+00:00,1,,,10.00,116,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
117,xu2wkqb7,,1,63,63,terminate,Results,2021-01-11 11:48:20.949019+00:00,1,,,10.00,117,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
118,hgguuv4n,,1,63,63,terminate,Results,2021-01-11 11:48:20.977153+00:00,1,,,10.00,118,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
119,9md2ymq9,,1,63,63,terminate,Results,2021-01-11 11:48:21.007395+00:00,1,,,0.00,119,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
120,2bbztl6f,,1,63,63,terminate,Results,2021-01-11 11:48:21.036003+00:00,1,,,0.00,120,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
121,h3oyjxei,,1,63,63,terminate,Results,2021-01-11 11:48:21.067065+00:00,1,,,0.00,121,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
122,87ridfry,,1,63,63,terminate,Results,2021-01-11 11:48:21.097119+00:00,1,,,10.00,122,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
123,bb0povwb,,1,63,63,terminate,Results,2021-01-11 11:48:21.131796+00:00,1,,,10.00,123,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
124,j79sw8sl,,1,63,63,terminate,Results,2021-01-11 11:48:21.268057+00:00,1,,,10.00,124,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
125,if6uapb8,,1,63,63,terminate,Results,2021-01-11 11:48:21.301284+00:00,1,,,10.00,125,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
126,9tkqem3m,,1,63,63,terminate,Results,2021-01-11 11:48:21.332652+00:00,1,,,0.00,126,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
127,1g00wui1,,1,63,63,terminate,Results,2021-01-11 11:48:21.362867+00:00,1,,,10.00,127,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
128,i3tkihbv,,1,63,63,terminate,Results,2021-01-11 11:48:21.395730+00:00,1,,,10.00,128,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
129,skvl49ii,,1,63,63,terminate,Results,2021-01-11 11:48:21.425831+00:00,1,,,10.00,129,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
130,te572iy8,,1,63,63,terminate,Results,2021-01-11 11:48:21.454460+00:00,1,,,10.00,130,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
131,tuura4nd,,1,63,63,terminate,Results,2021-01-11 11:48:21.483292+00:00,1,,,10.00,131,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
132,b93m4548,,1,63,63,terminate,Results,2021-01-11 11:48:21.511396+00:00,1,,,10.00,132,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
133,8z47ohui,,1,63,63,terminate,Results,2021-01-11 11:48:21.542378+00:00,1,,,10.00,133,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
134,b9ak2w17,,1,63,63,terminate,Results,2021-01-11 11:48:21.571768+00:00,1,,,10.00,134,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
135,crugnqvy,,1,63,63,terminate,Results,2021-01-11 11:48:21.601697+00:00,1,,,0.00,135,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
136,7s5zv3f9,,1,63,63,terminate,Results,2021-01-11 11:48:21.628624+00:00,1,,,10.00,136,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
137,a9oj5w2c,,1,63,63,terminate,Results,2021-01-11 11:48:21.657992+00:00,1,,,0.00,137,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
138,5vfqlgx0,,1,63,63,terminate,Results,2021-01-11 11:48:21.687107+00:00,1,,,0.00,138,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
139,p6em4x39,,1,63,63,terminate,Results,2021-01-11 11:48:21.715257+00:00,1,,,0.00,139,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
140,z5997v5q,,1,63,63,terminate,Results,2021-01-11 11:48:21.743604+00:00,1,,,10.00,140,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
141,a3ovqpht,,1,63,63,terminate,Results,2021-01-11 11:48:21.773692+00:00,1,,,0.00,141,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
142,6rmp4pwh,,1,63,63,terminate,Results,2021-01-11 11:48:21.804697+00:00,1,,,0.00,142,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
143,hnga92cm,,1,63,63,terminate,Results,2021-01-11 11:48:21.834721+00:00,1,,,0.00,143,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
144,3lp0ewdi,,1,63,63,terminate,Results,2021-01-11 11:48:21.862654+00:00,1,,,10.00,144,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
145,3y0d4c3a,,1,63,63,terminate,Results,2021-01-11 11:48:21.895216+00:00,1,,,0.00,145,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
146,ul7ir3rf,,1,63,63,terminate,Results,2021-01-11 11:48:21.932680+00:00,1,,,0.00,146,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
147,oevct4ak,,1,63,63,terminate,Results,2021-01-11 11:48:21.965086+00:00,1,,,0.00,147,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
148,5qtp00jr,,1,63,63,terminate,Results,2021-01-11 11:48:21.994805+00:00,1,,,10.00,148,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
149,2bx670j2,,1,63,63,terminate,Results,2021-01-11 11:48:22.023542+00:00,1,,,10.00,149,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
150,9sh1wmel,,1,63,63,terminate,Results,2021-01-11 11:48:22.052376+00:00,1,,,0.00,150,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
151,lr5vwhph,,1,63,63,terminate,Results,2021-01-11 11:48:22.083228+00:00,1,,,10.00,151,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
152,p5l93py1,,1,63,63,terminate,Results,2021-01-11 11:48:22.111923+00:00,1,,,10.00,152,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
153,xms3q42t,,1,63,63,terminate,Results,2021-01-11 11:48:22.142497+00:00,1,,,10.00,153,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
154,o0qqxfc1,,1,63,63,terminate,Results,2021-01-11 11:48:22.176655+00:00,1,,,10.00,154,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
155,55592fzs,,1,63,63,terminate,Results,2021-01-11 11:48:22.209252+00:00,1,,,10.00,155,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
156,p0m918bf,,1,63,63,terminate,Results,2021-01-11 11:48:22.239207+00:00,1,,,0.00,156,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
