participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.BaillonQ1,player.BaillonQ2,player.BaillonQ3,player.BaillonQ4,player.BaillonQ5,player.CQ2,player.review_weather,player.review_instructions,player.window_width,player.window_height,player.browser,player.matching_probability,player.pivotal_lottery,player.payment_mechanism,player.random_draw,player.event_decision,player.success,player.is_relevant,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
30,xocdyd43,,1,63,63,terminate,Results,2021-01-13 12:26:20.404209+00:00,1,,,10.00,30,,,,,,8,2,1,16,9,Chrome Test,87,44,Wette,36,E1,1,0,0.00,1,1,jing3te6,,,,,0
31,jhw43vo1,,1,63,63,terminate,Results,2021-01-13 12:26:20.427659+00:00,1,,,10.00,31,,,,,,8,2,2,16,9,Chrome Test,60,11,Wette,67,E3,0,0,0.00,1,1,jing3te6,,,,,0
32,1f80r52g,,1,63,63,terminate,Results,2021-01-13 12:26:20.450896+00:00,1,,,10.00,32,,,,,,8,1,3,16,9,Chrome Test,100,85,Wette,31,E2,1,0,0.00,1,1,jing3te6,,,,,0
33,4t5976lj,,1,63,63,terminate,Results,2021-01-13 12:26:20.474002+00:00,1,,,10.00,33,,,,,,8,1,3,16,9,Chrome Test,48,54,Lotterie,43,E12,1,0,0.00,1,1,jing3te6,,,,,0
34,b0oq8d29,,1,63,63,terminate,Results,2021-01-13 12:26:20.496044+00:00,1,,,10.00,34,,,,,,8,1,1,16,9,Chrome Test,71,21,Wette,5,E23,0,0,0.00,1,1,jing3te6,,,,,0
35,f8d81xxk,,1,63,63,terminate,Results,2021-01-13 12:26:20.518054+00:00,1,,,0.00,35,,,,,,8,1,2,16,9,Chrome Test,18,39,Lotterie,0,E13,1,0,0.00,1,1,jing3te6,,,,,0
36,llz6ai0f,,1,63,63,terminate,Results,2021-01-13 12:26:20.541650+00:00,1,,,10.00,36,,,,,,8,1,1,16,9,Chrome Test,31,33,Lotterie,53,E3,0,0,0.00,1,1,jing3te6,,,,,0
37,k6ldupgo,,1,63,63,terminate,Results,2021-01-13 12:26:20.564665+00:00,1,,,0.00,37,,,,,,8,2,2,16,9,Chrome Test,61,61,Lotterie,60,E2,1,0,0.00,1,1,jing3te6,,,,,0
38,yhk26a8j,,1,63,63,terminate,Results,2021-01-13 12:26:20.587027+00:00,1,,,10.00,38,,,,,,8,2,4,16,9,Chrome Test,49,68,Lotterie,49,E1,1,0,0.00,1,1,jing3te6,,,,,0
39,pnpvewod,,1,63,63,terminate,Results,2021-01-13 12:26:20.609233+00:00,1,,,10.00,39,,,,,,8,2,3,16,9,Chrome Test,14,45,Lotterie,79,E12,0,0,0.00,1,1,jing3te6,,,,,0
40,cwsit9fl,,1,63,63,terminate,Results,2021-01-13 12:26:20.633205+00:00,1,,,0.00,40,,,,,,8,1,1,16,9,Chrome Test,69,23,Wette,48,E1,1,0,0.00,1,1,jing3te6,,,,,0
41,x2pz5m8r,,1,63,63,terminate,Results,2021-01-13 12:26:20.656176+00:00,1,,,0.00,41,,,,,,8,1,1,16,9,Chrome Test,75,91,Lotterie,89,E13,1,0,0.00,1,1,jing3te6,,,,,0
42,pxfe3nnv,,1,63,63,terminate,Results,2021-01-13 12:26:20.678782+00:00,1,,,0.00,42,,,,,,8,1,4,16,9,Chrome Test,26,58,Lotterie,75,E23,0,0,0.00,1,1,jing3te6,,,,,0
43,rwi3o2hs,,1,63,63,terminate,Results,2021-01-13 12:26:20.701046+00:00,1,,,10.00,43,,,,,,8,1,3,16,9,Chrome Test,44,42,Wette,38,E12,1,0,0.00,1,1,jing3te6,,,,,0
44,my6jhmqh,,1,63,63,terminate,Results,2021-01-13 12:26:20.723158+00:00,1,,,0.00,44,,,,,,8,2,1,16,9,Chrome Test,48,41,Wette,62,E12,1,0,0.00,1,1,jing3te6,,,,,0
45,kumis196,,1,63,63,terminate,Results,2021-01-13 12:26:20.746873+00:00,1,,,10.00,45,,,,,,8,2,3,16,9,Chrome Test,60,22,Wette,76,E13,0,0,0.00,1,1,jing3te6,,,,,0
46,1mi4ly9v,,1,63,63,terminate,Results,2021-01-13 12:26:20.769411+00:00,1,,,0.00,46,,,,,,8,1,4,16,9,Chrome Test,37,7,Wette,44,E1,1,0,0.00,1,1,jing3te6,,,,,0
47,wy7pym1j,,1,63,63,terminate,Results,2021-01-13 12:26:20.791815+00:00,1,,,0.00,47,,,,,,8,2,2,16,9,Chrome Test,56,19,Wette,42,E3,0,1,0.00,1,1,jing3te6,,,,,0
48,raha2v1v,,1,63,63,terminate,Results,2021-01-13 12:26:20.814555+00:00,1,,,10.00,48,,,,,,8,2,3,16,9,Chrome Test,11,65,Lotterie,13,E3,1,0,0.00,1,1,jing3te6,,,,,0
49,dgd5hqdz,,1,63,63,terminate,Results,2021-01-13 12:26:20.837913+00:00,1,,,0.00,49,,,,,,8,1,4,16,9,Chrome Test,55,81,Lotterie,3,E2,1,0,0.00,1,1,jing3te6,,,,,0
50,wywz853l,,1,63,63,terminate,Results,2021-01-13 12:26:20.860725+00:00,1,,,0.00,50,,,,,,8,1,1,16,9,Chrome Test,98,93,Wette,30,E3,0,0,0.00,1,1,jing3te6,,,,,0
51,622jlor1,,1,63,63,terminate,Results,2021-01-13 12:26:20.884075+00:00,1,,,10.00,51,,,,,,8,1,1,16,9,Chrome Test,5,57,Lotterie,73,E1,0,0,0.00,1,1,jing3te6,,,,,0
52,ty5aekf7,,1,63,63,terminate,Results,2021-01-13 12:26:20.906576+00:00,1,,,0.00,52,,,,,,8,1,2,16,9,Chrome Test,1,33,Lotterie,69,E1,0,0,0.00,1,1,jing3te6,,,,,0
53,lej7bq7p,,1,63,63,terminate,Results,2021-01-13 12:26:20.929338+00:00,1,,,10.00,53,,,,,,8,2,2,16,9,Chrome Test,21,98,Lotterie,16,E1,1,0,0.00,1,1,jing3te6,,,,,0
54,an0k2cth,,1,63,63,terminate,Results,2021-01-13 12:26:20.952685+00:00,1,,,0.00,54,,,,,,8,1,2,16,9,Chrome Test,70,26,Wette,73,E2,0,0,0.00,1,1,jing3te6,,,,,0
55,eecl5fo5,,1,63,63,terminate,Results,2021-01-13 12:26:20.975134+00:00,1,,,0.00,55,,,,,,8,1,1,16,9,Chrome Test,57,84,Lotterie,100,E13,0,0,0.00,1,1,jing3te6,,,,,0
56,kav21s5l,,1,63,63,terminate,Results,2021-01-13 12:26:20.997645+00:00,1,,,0.00,56,,,,,,8,1,3,16,9,Chrome Test,43,0,Wette,52,E2,1,0,0.00,1,1,jing3te6,,,,,0
57,snbe7yvf,,1,63,63,terminate,Results,2021-01-13 12:26:21.034962+00:00,1,,,10.00,57,,,,,,8,1,3,16,9,Chrome Test,42,17,Wette,36,E1,0,0,0.00,1,1,jing3te6,,,,,0
58,f06wd559,,1,63,63,terminate,Results,2021-01-13 12:26:21.058251+00:00,1,,,10.00,58,,,,,,8,1,3,16,9,Chrome Test,63,53,Wette,37,E13,1,0,0.00,1,1,jing3te6,,,,,0
59,h16e4whn,,1,63,63,terminate,Results,2021-01-13 12:26:21.082004+00:00,1,,,10.00,59,,,,,,8,2,2,16,9,Chrome Test,75,65,Wette,93,E1,0,0,0.00,1,1,jing3te6,,,,,0
60,9wgjgi65,,1,63,63,terminate,Results,2021-01-13 12:26:21.104334+00:00,1,,,10.00,60,,,,,,8,1,4,16,9,Chrome Test,48,97,Lotterie,85,E12,1,0,0.00,1,1,jing3te6,,,,,0
61,6ltsxd9l,,1,63,63,terminate,Results,2021-01-13 12:26:21.127262+00:00,1,,,10.00,61,,,,,,8,1,2,16,9,Chrome Test,68,51,Wette,76,E2,0,0,0.00,1,1,jing3te6,,,,,0
62,46q71l7q,,1,63,63,terminate,Results,2021-01-13 12:26:21.151026+00:00,1,,,0.00,62,,,,,,8,2,2,16,9,Chrome Test,4,73,Lotterie,64,E23,1,0,0.00,1,1,jing3te6,,,,,0
63,ix12p3zu,,1,63,63,terminate,Results,2021-01-13 12:26:21.173691+00:00,1,,,10.00,63,,,,,,8,2,2,16,9,Chrome Test,99,50,Wette,97,E23,0,0,0.00,1,1,jing3te6,,,,,0
64,bq2gqx72,,1,63,63,terminate,Results,2021-01-13 12:26:21.196047+00:00,1,,,10.00,64,,,,,,8,1,1,16,9,Chrome Test,53,83,Lotterie,48,E12,1,0,0.00,1,1,jing3te6,,,,,0
65,aanjshkd,,1,63,63,terminate,Results,2021-01-13 12:26:21.218488+00:00,1,,,0.00,65,,,,,,8,1,4,16,9,Chrome Test,71,1,Wette,3,E1,1,0,0.00,1,1,jing3te6,,,,,0
66,ac7l0tak,,1,63,63,terminate,Results,2021-01-13 12:26:21.241445+00:00,1,,,10.00,66,,,,,,8,1,1,16,9,Chrome Test,68,18,Wette,72,E12,1,0,0.00,1,1,jing3te6,,,,,0
67,2x0zpzbe,,1,63,63,terminate,Results,2021-01-13 12:26:21.266599+00:00,1,,,0.00,67,,,,,,8,2,3,16,9,Chrome Test,21,20,Wette,48,E12,1,0,0.00,1,1,jing3te6,,,,,0
68,81t2d9gb,,1,63,63,terminate,Results,2021-01-13 12:26:21.294164+00:00,1,,,10.00,68,,,,,,8,1,2,16,9,Chrome Test,42,37,Wette,72,E1,0,0,0.00,1,1,jing3te6,,,,,0
69,in3uvxq9,,1,63,63,terminate,Results,2021-01-13 12:26:21.318922+00:00,1,,,10.00,69,,,,,,8,2,3,16,9,Chrome Test,72,18,Wette,76,E3,0,0,0.00,1,1,jing3te6,,,,,0
70,s2s9epif,,1,63,63,terminate,Results,2021-01-13 12:26:21.345019+00:00,1,,,10.00,70,,,,,,8,1,2,16,9,Chrome Test,99,18,Wette,45,E1,0,0,0.00,1,1,jing3te6,,,,,0
71,5jzuq4n4,,1,63,63,terminate,Results,2021-01-13 12:26:21.370289+00:00,1,,,0.00,71,,,,,,8,2,2,16,9,Chrome Test,50,32,Wette,0,E3,0,0,0.00,1,1,jing3te6,,,,,0
72,sa7g8m0j,,1,63,63,terminate,Results,2021-01-13 12:26:21.392999+00:00,1,,,0.00,72,,,,,,8,2,3,16,9,Chrome Test,93,55,Wette,17,E23,1,0,0.00,1,1,jing3te6,,,,,0
73,uuuf1pok,,1,63,63,terminate,Results,2021-01-13 12:26:21.415712+00:00,1,,,10.00,73,,,,,,8,1,4,16,9,Chrome Test,52,60,Lotterie,30,E12,1,0,0.00,1,1,jing3te6,,,,,0
74,9dbsx05w,,1,63,63,terminate,Results,2021-01-13 12:26:21.438773+00:00,1,,,10.00,74,,,,,,8,1,1,16,9,Chrome Test,41,42,Lotterie,74,E2,0,0,0.00,1,1,jing3te6,,,,,0
75,zankg438,,1,63,63,terminate,Results,2021-01-13 12:26:21.461747+00:00,1,,,10.00,75,,,,,,8,1,3,16,9,Chrome Test,78,51,Wette,65,E2,0,0,0.00,1,1,jing3te6,,,,,0
76,uarzxzka,,1,63,63,terminate,Results,2021-01-13 12:26:21.549059+00:00,1,,,10.00,76,,,,,,8,1,1,16,9,Chrome Test,16,17,Lotterie,67,E12,0,0,0.00,1,1,jing3te6,,,,,0
77,ocpa1nmp,,1,63,63,terminate,Results,2021-01-13 12:26:21.575282+00:00,1,,,10.00,77,,,,,,8,2,1,16,9,Chrome Test,82,29,Wette,68,E12,1,0,0.00,1,1,jing3te6,,,,,0
78,hslbx5wa,,1,63,63,terminate,Results,2021-01-13 12:26:21.598556+00:00,1,,,10.00,78,,,,,,8,1,1,16,9,Chrome Test,48,20,Wette,85,E13,0,0,0.00,1,1,jing3te6,,,,,0
79,4veegvra,,1,63,63,terminate,Results,2021-01-13 12:26:21.621708+00:00,1,,,10.00,79,,,,,,8,2,1,16,9,Chrome Test,68,79,Lotterie,59,E13,1,0,0.00,1,1,jing3te6,,,,,0
80,pmx7il7g,,1,63,63,terminate,Results,2021-01-13 12:26:21.646086+00:00,1,,,10.00,80,,,,,,8,2,2,16,9,Chrome Test,12,17,Lotterie,12,E2,1,0,0.00,1,1,jing3te6,,,,,0
81,5g8yc8df,,1,63,63,terminate,Results,2021-01-13 12:26:21.679429+00:00,1,,,10.00,81,,,,,,8,2,3,16,9,Chrome Test,92,48,Wette,85,E1,0,0,0.00,1,1,jing3te6,,,,,0
82,8o8p9rq3,,1,63,63,terminate,Results,2021-01-13 12:26:21.705294+00:00,1,,,10.00,82,,,,,,8,2,1,16,9,Chrome Test,20,100,Lotterie,88,E1,1,0,0.00,1,1,jing3te6,,,,,0
83,orjd3ku6,,1,63,63,terminate,Results,2021-01-13 12:26:21.730098+00:00,1,,,0.00,83,,,,,,8,1,1,16,9,Chrome Test,65,19,Wette,13,E13,0,0,0.00,1,1,jing3te6,,,,,0
84,zw0qh195,,1,63,63,terminate,Results,2021-01-13 12:26:21.754995+00:00,1,,,0.00,84,,,,,,8,2,3,16,9,Chrome Test,27,67,Lotterie,27,E3,1,0,0.00,1,1,jing3te6,,,,,0
85,50sfg9uk,,1,63,63,terminate,Results,2021-01-13 12:26:21.778825+00:00,1,,,10.00,85,,,,,,8,2,3,16,9,Chrome Test,60,64,Lotterie,17,E2,1,0,0.00,1,1,jing3te6,,,,,0
86,d7ilkbqe,,1,63,63,terminate,Results,2021-01-13 12:26:21.801555+00:00,1,,,0.00,86,,,,,,8,1,1,16,9,Chrome Test,37,17,Wette,78,E3,0,0,0.00,1,1,jing3te6,,,,,0
87,c1fc39a7,,1,63,63,terminate,Results,2021-01-13 12:26:21.824348+00:00,1,,,10.00,87,,,,,,8,1,1,16,9,Chrome Test,83,88,Lotterie,87,E2,1,1,10.00,1,1,jing3te6,,,,,0
88,lsnrunmm,,1,63,63,terminate,Results,2021-01-13 12:26:21.850018+00:00,1,,,0.00,88,,,,,,8,2,3,16,9,Chrome Test,100,5,Wette,43,E3,0,0,0.00,1,1,jing3te6,,,,,0
89,enlrudz8,,1,63,63,terminate,Results,2021-01-13 12:26:21.873766+00:00,1,,,0.00,89,,,,,,8,1,3,16,9,Chrome Test,86,88,Lotterie,100,E2,0,0,0.00,1,1,jing3te6,,,,,0
90,j6u3cxgk,,1,63,63,terminate,Results,2021-01-13 12:26:21.896361+00:00,1,,,10.00,90,,,,,,8,2,3,16,9,Chrome Test,35,61,Lotterie,25,E3,1,0,0.00,1,1,jing3te6,,,,,0
91,x68x5pou,,1,63,63,terminate,Results,2021-01-13 12:26:21.919227+00:00,1,,,0.00,91,,,,,,8,1,2,16,9,Chrome Test,83,84,Lotterie,70,E13,1,0,0.00,1,1,jing3te6,,,,,0
92,roo60qq5,,1,63,63,terminate,Results,2021-01-13 12:26:21.941839+00:00,1,,,0.00,92,,,,,,8,1,1,16,9,Chrome Test,44,78,Lotterie,93,E2,0,0,0.00,1,1,jing3te6,,,,,0
93,pmg8nu3u,,1,63,63,terminate,Results,2021-01-13 12:26:21.965356+00:00,1,,,0.00,93,,,,,,8,2,4,16,9,Chrome Test,48,98,Lotterie,20,E13,1,0,0.00,1,1,jing3te6,,,,,0
94,2rinlaq2,,1,63,63,terminate,Results,2021-01-13 12:26:21.988002+00:00,1,,,0.00,94,,,,,,8,1,2,16,9,Chrome Test,87,50,Wette,5,E3,0,0,0.00,1,1,jing3te6,,,,,0
95,ibseh6jj,,1,63,63,terminate,Results,2021-01-13 12:26:22.010896+00:00,1,,,0.00,95,,,,,,8,2,1,16,9,Chrome Test,30,86,Lotterie,75,E13,1,0,0.00,1,1,jing3te6,,,,,0
96,kvl2vrw3,,1,63,63,terminate,Results,2021-01-13 12:26:22.033943+00:00,1,,,10.00,96,,,,,,8,2,2,16,9,Chrome Test,54,64,Lotterie,74,E13,0,0,0.00,1,1,jing3te6,,,,,0
97,ha71dwed,,1,63,63,terminate,Results,2021-01-13 12:26:22.057739+00:00,1,,,10.00,97,,,,,,8,2,1,16,9,Chrome Test,61,19,Wette,76,E3,0,0,0.00,1,1,jing3te6,,,,,0
98,uiqvc7oj,,1,63,63,terminate,Results,2021-01-13 12:26:22.081611+00:00,1,,,10.00,98,,,,,,8,1,3,16,9,Chrome Test,40,32,Wette,33,E13,1,0,0.00,1,1,jing3te6,,,,,0
99,37pmnwoz,,1,63,63,terminate,Results,2021-01-13 12:26:22.104423+00:00,1,,,0.00,99,,,,,,8,1,1,16,9,Chrome Test,21,37,Lotterie,55,E12,0,0,0.00,1,1,jing3te6,,,,,0
100,43xko5e2,,1,63,63,terminate,Results,2021-01-13 12:26:22.127643+00:00,1,,,10.00,100,,,,,,8,2,2,16,9,Chrome Test,71,85,Lotterie,25,E23,1,0,0.00,1,1,jing3te6,,,,,0
101,bt24rbbe,,1,63,63,terminate,Results,2021-01-13 12:26:22.151261+00:00,1,,,0.00,101,,,,,,8,1,3,16,9,Chrome Test,88,20,Wette,88,E3,0,0,0.00,1,1,jing3te6,,,,,0
102,7pc4z5sh,,1,63,63,terminate,Results,2021-01-13 12:26:22.173998+00:00,1,,,0.00,102,,,,,,8,1,1,16,9,Chrome Test,16,59,Lotterie,69,E13,0,0,0.00,1,1,jing3te6,,,,,0
103,4o7va685,,1,63,63,terminate,Results,2021-01-13 12:26:22.197152+00:00,1,,,10.00,103,,,,,,8,1,3,16,9,Chrome Test,56,26,Wette,35,E1,0,0,0.00,1,1,jing3te6,,,,,0
104,6xal17zs,,1,63,63,terminate,Results,2021-01-13 12:26:22.219327+00:00,1,,,0.00,104,,,,,,8,2,2,16,9,Chrome Test,85,4,Wette,3,E13,0,0,0.00,1,1,jing3te6,,,,,0
105,k1781u94,,1,63,63,terminate,Results,2021-01-13 12:26:22.242613+00:00,1,,,10.00,105,,,,,,8,2,2,16,9,Chrome Test,38,19,Wette,47,E1,1,0,0.00,1,1,jing3te6,,,,,0
106,bwul9i8d,,1,63,63,terminate,Results,2021-01-13 12:26:22.266151+00:00,1,,,10.00,106,,,,,,8,2,1,16,9,Chrome Test,30,96,Lotterie,16,E2,1,0,0.00,1,1,jing3te6,,,,,0
107,k3fr2thm,,1,63,63,terminate,Results,2021-01-13 12:26:22.288375+00:00,1,,,10.00,107,,,,,,8,2,4,16,9,Chrome Test,74,15,Wette,16,E1,0,0,0.00,1,1,jing3te6,,,,,0
108,fuzqd8rq,,1,63,63,terminate,Results,2021-01-13 12:26:22.311516+00:00,1,,,0.00,108,,,,,,8,2,1,16,9,Chrome Test,12,2,Wette,80,E3,0,0,0.00,1,1,jing3te6,,,,,0
109,lgcyr30s,,1,63,63,terminate,Results,2021-01-13 12:26:22.334927+00:00,1,,,0.00,109,,,,,,8,1,3,16,9,Chrome Test,7,66,Lotterie,36,E3,1,0,0.00,1,1,jing3te6,,,,,0
110,led96iq9,,1,63,63,terminate,Results,2021-01-13 12:26:22.357716+00:00,1,,,10.00,110,,,,,,8,1,4,16,9,Chrome Test,16,31,Lotterie,37,E12,0,0,0.00,1,1,jing3te6,,,,,0
111,zvm0urd2,,1,63,63,terminate,Results,2021-01-13 12:26:22.380660+00:00,1,,,10.00,111,,,,,,8,2,1,16,9,Chrome Test,56,54,Wette,92,E1,1,1,10.00,1,1,jing3te6,,,,,0
112,y1o4iain,,1,63,63,terminate,Results,2021-01-13 12:26:22.402915+00:00,1,,,0.00,112,,,,,,8,2,2,16,9,Chrome Test,44,87,Lotterie,64,E13,1,0,0.00,1,1,jing3te6,,,,,0
113,x4c32yhi,,1,63,63,terminate,Results,2021-01-13 12:26:22.426612+00:00,1,,,0.00,113,,,,,,8,1,2,16,9,Chrome Test,48,83,Lotterie,72,E3,1,0,0.00,1,1,jing3te6,,,,,0
114,nba58yim,,1,63,63,terminate,Results,2021-01-13 12:26:22.450071+00:00,1,,,0.00,114,,,,,,8,2,4,16,9,Chrome Test,27,0,Wette,25,E2,1,0,0.00,1,1,jing3te6,,,,,0
115,4gj4hdlq,,1,63,63,terminate,Results,2021-01-13 12:26:22.472687+00:00,1,,,10.00,115,,,,,,8,1,1,16,9,Chrome Test,100,50,Wette,53,E2,1,0,0.00,1,1,jing3te6,,,,,0
116,a5q1jzhb,,1,63,63,terminate,Results,2021-01-13 12:26:22.495212+00:00,1,,,10.00,116,,,,,,8,1,4,16,9,Chrome Test,90,99,Lotterie,17,E3,1,0,0.00,1,1,jing3te6,,,,,0
117,e4zd3cyb,,1,63,63,terminate,Results,2021-01-13 12:26:22.518248+00:00,1,,,10.00,117,,,,,,8,1,2,16,9,Chrome Test,59,22,Wette,43,E23,0,0,0.00,1,1,jing3te6,,,,,0
